Dimension,Time
100,0.000086
100,0.000110
100,0.000123
100,0.000086
100,0.000085
100,0.000204
100,0.000103
100,0.000094
100,0.000085
100,0.000085
100,0.000116
100,0.000101
100,0.000085
100,0.000085
100,0.000129
100,0.000100
100,0.000085
100,0.000084
100,0.000128
100,0.000088
100,0.000085
100,0.000123
100,0.000092
100,0.000097
100,0.000085
100,0.000104
100,0.000098
100,0.000098
100,0.000085
100,0.000085
100,0.000130
100,0.000094
100,0.000085
100,0.000085
100,0.000089
100,0.000098
100,0.000085
100,0.000118
100,0.000122
100,0.000087
100,0.000085
100,0.000150
100,0.000155
100,0.000443
100,0.000110
100,0.000085
100,0.000136
100,0.000028
100,0.000086
100,0.000134

200,0.000368
200,0.000385
200,0.000384
200,0.000403
200,0.000389
200,0.000388
200,0.000411
200,0.000526
200,0.000428
200,0.000412
200,0.000411
200,0.000336
200,0.000336
200,0.000346
200,0.000362
200,0.000344
200,0.000419
200,0.000364
200,0.000555
200,0.000460
200,0.000464
200,0.000436
200,0.000386
200,0.000339
200,0.000336
200,0.000344
200,0.000348
200,0.000386
200,0.000074
200,0.000538
200,0.000434
200,0.000394
200,0.000336
200,0.000336
200,0.000336
200,0.000344
200,0.000272
200,0.000344
200,0.000383
200,0.000417
200,0.000548
200,0.000464
200,0.000450
200,0.000427
200,0.000445
200,0.000320
200,0.000389
200,0.000336
200,0.000336
200,0.000346

300,0.001117
300,0.000442
300,0.000808
300,0.000871
300,0.000877
300,0.001024
300,0.001022
300,0.001319
300,0.000902
300,0.000890
300,0.000945
300,0.000872
300,0.000933
300,0.000879
300,0.000976
300,0.000926
300,0.000868
300,0.000899
300,0.000911
300,0.000983
300,0.000871
300,0.000865
300,0.000913
300,0.000879
300,0.000962
300,0.000908
300,0.000817
300,0.000871
300,0.000882
300,0.000976
300,0.000934
300,0.000867
300,0.000796
300,0.000825
300,0.000847
300,0.000845
300,0.000896
300,0.000850
300,0.000886
300,0.000987
300,0.000896
300,0.001190
300,0.001700
300,0.001288
300,0.001201
300,0.001217
300,0.001205
300,0.001455
300,0.002091
300,0.001231

400,0.002165
400,0.002196
400,0.001933
400,0.002272
400,0.002094
400,0.002907
400,0.003096
400,0.002788
400,0.002614
400,0.002166
400,0.002201
400,0.002191
400,0.002942
400,0.002204
400,0.001820
400,0.001852
400,0.001817
400,0.001844
400,0.001582
400,0.001865
400,0.001585
400,0.001522
400,0.001742
400,0.001614
400,0.001492
400,0.001352
400,0.001547
400,0.001597
400,0.001700
400,0.001742
400,0.001726
400,0.009828
400,0.003602
400,0.004436
400,0.002160
400,0.001724
400,0.002178
400,0.002144
400,0.002110
400,0.001783
400,0.002011
400,0.001927
400,0.002209
400,0.001940
400,0.002411
400,0.002149
400,0.001777
400,0.001984
400,0.002360
400,0.002284

500,0.003501
500,0.003343
500,0.003428
500,0.004433
500,0.003505
500,0.003536
500,0.003406
500,0.003476
500,0.003456
500,0.003890
500,0.004367
500,0.003405
500,0.003073
500,0.004504
500,0.003044
500,0.004291
500,0.003543
500,0.004532
500,0.003430
500,0.004412
500,0.003494
500,0.003826
500,0.003445
500,0.003310
500,0.003433
500,0.005348
500,0.003622
500,0.003786
500,0.003745
500,0.007007
500,0.003003
500,0.006191
500,0.003177
500,0.003598
500,0.003508
500,0.003370
500,0.003760
500,0.004085
500,0.006114
500,0.003743
500,0.003521
500,0.004439
500,0.003636
500,0.003165
500,0.002582
500,0.002816
500,0.002317
500,0.002522
500,0.002500
500,0.002524

600,0.003541
600,0.004824
600,0.005322
600,0.004987
600,0.005291
