Thread,Average,Min,Max,Range,Variance
1,0.243494,0.222928,0.261907,0.038979,0.059371
2,0.973884,0.760754,1.197452,0.436698,0.955353
3,0.658738,0.491129,0.776570,0.285441,0.437864
4,0.513160,0.377851,0.630864,0.253013,0.266076
5,0.548119,0.407653,0.635283,0.227630,0.303320
6,0.521952,0.344858,0.705102,0.360244,0.278986
7,0.380039,0.280030,0.477805,0.197775,0.146746
8,0.351842,0.285389,0.464042,0.178653,0.125557
9,0.338252,0.273148,0.412026,0.138878,0.115660
10,0.329296,0.263998,0.415725,0.151727,0.109470
11,0.317853,0.259953,0.378173,0.118220,0.101751
12,0.309295,0.255057,0.378938,0.123881,0.096536
13,0.306807,0.269509,0.353285,0.083776,0.094535
14,0.308206,0.255908,0.375388,0.119480,0.095464
15,0.300241,0.254128,0.353909,0.099781,0.090858
16,0.304012,0.257214,0.384489,0.127275,0.093055
17,0.297313,0.265400,0.342654,0.077254,0.088819
18,0.290528,0.245623,0.338578,0.092955,0.084915
19,0.294916,0.248781,0.401149,0.152368,0.087646
20,0.291672,0.250996,0.346521,0.095525,0.085597
21,0.294261,0.259932,0.331038,0.071106,0.087036
22,0.298195,0.258963,0.362646,0.103683,0.089325
23,0.297835,0.246418,0.326176,0.079758,0.089111
24,0.297140,0.269522,0.329722,0.060200,0.088564
25,0.299642,0.257152,0.341356,0.084204,0.090080
26,0.295447,0.257855,0.353221,0.095366,0.087691
27,0.299709,0.262177,0.350720,0.088543,0.090258
28,0.291219,0.256987,0.334144,0.077157,0.085162
29,0.296347,0.264365,0.332819,0.068454,0.088031
30,0.295295,0.255640,0.336347,0.080707,0.087458
31,0.291948,0.252367,0.322766,0.070399,0.085515
32,0.294950,0.255634,0.335898,0.080264,0.087284
33,0.294220,0.269501,0.321967,0.052466,0.086699
34,0.292899,0.258673,0.323207,0.064534,0.085988
35,0.290679,0.244744,0.329132,0.084388,0.084724
36,0.287355,0.262328,0.316791,0.054463,0.082745
37,0.290369,0.254578,0.319464,0.064886,0.084582
38,0.290405,0.264143,0.317073,0.052930,0.084467
39,0.293820,0.260494,0.320480,0.059986,0.086512
40,0.290227,0.251146,0.318403,0.067257,0.084451
41,0.288150,0.266360,0.314630,0.048270,0.083153
42,0.290408,0.259871,0.316987,0.057116,0.084506
43,0.288812,0.260697,0.309698,0.049001,0.083549
44,0.285171,0.255003,0.310265,0.055262,0.081478
45,0.286182,0.261715,0.310316,0.048601,0.082046
46,0.284493,0.264588,0.311717,0.047129,0.081034
47,0.282849,0.256060,0.306282,0.050222,0.080149
48,0.286743,0.260901,0.306907,0.046006,0.082342
49,0.284892,0.255755,0.310809,0.055054,0.081280
50,0.285349,0.257477,0.311147,0.053670,0.081577
51,0.285074,0.264036,0.313660,0.049624,0.081400
52,0.283974,0.261272,0.310297,0.049025,0.080788
53,0.282858,0.256405,0.305131,0.048726,0.080131
54,0.284215,0.249165,0.305792,0.056627,0.080920
55,0.284077,0.263885,0.318687,0.054802,0.080844
56,0.285783,0.263797,0.315630,0.051833,0.081816
57,0.282391,0.249577,0.307825,0.058248,0.079863
58,0.283926,0.257687,0.318578,0.060891,0.080726
59,0.281052,0.256892,0.308405,0.051513,0.079118
60,0.281091,0.253478,0.315307,0.061829,0.079166
61,0.280136,0.260911,0.304404,0.043493,0.078555
62,0.282287,0.259639,0.304651,0.045012,0.079775
63,0.280064,0.259498,0.312419,0.052921,0.078570
64,0.278017,0.250433,0.308513,0.058080,0.077431
65,0.279253,0.254267,0.308433,0.054166,0.078128
66,0.282536,0.267241,0.304211,0.036970,0.079908
67,0.278836,0.255954,0.301952,0.045998,0.077835
68,0.281782,0.255967,0.301465,0.045498,0.079506
69,0.279122,0.258016,0.301370,0.043354,0.078009
70,0.282079,0.258425,0.310910,0.052485,0.079690
71,0.277937,0.257107,0.298093,0.040986,0.077350
72,0.276873,0.255663,0.298560,0.042897,0.076764
73,0.281678,0.265177,0.301159,0.035982,0.079407
74,0.285309,0.263266,0.313359,0.050093,0.081531
75,0.310302,0.261755,0.429948,0.168193,0.097965
76,0.298942,0.253462,0.346963,0.093501,0.089816
77,0.299275,0.264814,0.365021,0.100207,0.090146
78,0.299973,0.276714,0.355825,0.079111,0.090216
79,0.311774,0.271327,0.366553,0.095226,0.097652
80,0.298904,0.269378,0.332751,0.063373,0.089531
81,0.290248,0.255822,0.322709,0.066887,0.084408
82,0.279982,0.260146,0.309557,0.049411,0.078511
83,0.277736,0.260391,0.306987,0.046596,0.077251
84,0.277144,0.255815,0.319439,0.063624,0.076937
85,0.277256,0.257264,0.305339,0.048075,0.076966
86,0.280487,0.251552,0.307116,0.055564,0.078829
87,0.278980,0.257622,0.309349,0.051727,0.077958
88,0.278443,0.256709,0.303528,0.046819,0.077644
89,0.279107,0.262230,0.309703,0.047473,0.078009
90,0.277292,0.258970,0.301952,0.042982,0.076980
91,0.277435,0.255907,0.307438,0.051531,0.077071
92,0.277542,0.257913,0.294976,0.037063,0.077117
93,0.275384,0.254262,0.302894,0.048632,0.075969
94,0.275741,0.258555,0.305724,0.047169,0.076115
95,0.278374,0.243711,0.307271,0.063560,0.077652
96,0.278506,0.256999,0.300093,0.043094,0.077681
97,0.281998,0.258004,0.310727,0.052723,0.079639
98,0.279351,0.257690,0.307592,0.049902,0.078160
99,0.276707,0.256366,0.303524,0.047158,0.076717
100,0.271550,0.251382,0.294162,0.042780,0.073820
101,0.272180,0.246014,0.299368,0.053354,0.074180
102,0.274100,0.254899,0.292541,0.037642,0.075224
103,0.271081,0.253549,0.287739,0.034190,0.073540
104,0.274181,0.259615,0.306559,0.046944,0.075277
105,0.275408,0.260211,0.289855,0.029644,0.075919
106,0.277913,0.250258,0.310044,0.059786,0.077404
107,0.281222,0.260548,0.302180,0.041632,0.079191
108,0.298559,0.256156,0.489422,0.233266,0.091111
109,0.280054,0.260268,0.324914,0.064646,0.078587
110,0.279404,0.257790,0.305672,0.047882,0.078202
111,0.273390,0.254211,0.298013,0.043802,0.074838
112,0.275584,0.245187,0.304302,0.059115,0.076089
113,0.278146,0.257337,0.303237,0.045900,0.077492
114,0.275308,0.256397,0.306662,0.050265,0.075929
115,0.273835,0.250585,0.314617,0.064032,0.075179
116,0.270452,0.251205,0.293750,0.042545,0.073227
117,0.270246,0.251663,0.294662,0.042999,0.073118
118,0.272164,0.254947,0.289621,0.034674,0.074154
119,0.273647,0.253283,0.308033,0.054750,0.074986
120,0.270410,0.256674,0.290418,0.033744,0.073189
121,0.275839,0.253812,0.301372,0.047560,0.076198
122,0.274113,0.258664,0.300559,0.041895,0.075229
123,0.275851,0.256517,0.302614,0.046097,0.076211
124,0.273413,0.248748,0.300238,0.051490,0.074863
125,0.273270,0.251916,0.314081,0.062165,0.074798
126,0.282330,0.257777,0.310309,0.052532,0.079835
127,0.281550,0.257502,0.316704,0.059202,0.079413
128,0.288984,0.265200,0.322786,0.057586,0.083691
129,0.297015,0.269139,0.326773,0.057634,0.088409
130,0.276178,0.258621,0.306664,0.048043,0.076373
131,0.278545,0.255557,0.297288,0.041731,0.077693
132,0.285564,0.259175,0.338662,0.079487,0.081878
133,0.274060,0.254567,0.307856,0.053289,0.075255
134,0.277222,0.256295,0.319383,0.063088,0.076981
135,0.272734,0.253188,0.294915,0.041727,0.074483
136,0.278118,0.253028,0.310129,0.057101,0.077490
137,0.285553,0.261432,0.325456,0.064024,0.081735
138,0.286033,0.259885,0.325521,0.065636,0.082003
139,0.279553,0.252922,0.302143,0.049221,0.078304
140,0.280960,0.251305,0.330965,0.079660,0.079189
141,0.276720,0.257089,0.308630,0.051541,0.076706
142,0.279461,0.257908,0.306030,0.048122,0.078272
143,0.281628,0.253156,0.340516,0.087360,0.079587
144,0.275731,0.251398,0.320891,0.069493,0.076171
145,0.273557,0.248091,0.297469,0.049378,0.074950
146,0.276484,0.254293,0.304831,0.050538,0.076537
147,0.277892,0.252430,0.305924,0.053494,0.077355
148,0.274023,0.257645,0.293544,0.035899,0.075181
149,0.272826,0.251408,0.309348,0.057940,0.074576
150,0.272428,0.253194,0.316265,0.063071,0.074411
151,0.277516,0.258013,0.306502,0.048489,0.077150
152,0.276341,0.258312,0.312730,0.054418,0.076485
