Dimension,Time
100,0.000091
100,0.000085
100,0.000130
100,0.000085
100,0.000085
100,0.000085
100,0.000126
100,0.000085
100,0.000085
100,0.000085
100,0.000131
100,0.000085
100,0.000085
100,0.000085
100,0.000128
100,0.000127
100,0.000085
100,0.000085
100,0.000131
100,0.000093
100,0.000085
100,0.000085
100,0.000128
100,0.000085
100,0.000085
100,0.000085
100,0.000127
100,0.000085
100,0.000085
100,0.000085
100,0.000137
100,0.000125
100,0.000085
100,0.000085
100,0.000128
100,0.000086
100,0.000085
100,0.000085
100,0.000133
100,0.000110
100,0.000085
100,0.000085
100,0.000178
100,0.000154
100,0.000085
100,0.000085
100,0.000085
100,0.000127
100,0.000112
100,0.000103

200,0.000368
200,0.000525
200,0.000472
200,0.001065
200,0.000440
200,0.000468
200,0.000425
200,0.000509
200,0.000428
200,0.000355
200,0.000361
200,0.000368
200,0.000422
200,0.000477
200,0.000456
200,0.000453
200,0.000419
200,0.000390
200,0.000335
200,0.000161
200,0.000350
200,0.000344
200,0.000343
200,0.000388
200,0.000387
200,0.000393
200,0.000424
200,0.000384
200,0.000335
200,0.000335
200,0.000343
200,0.000344
200,0.000354
200,0.001223
200,0.000509
200,0.000482
200,0.000459
200,0.000449
200,0.000400
200,0.000349
200,0.000335
200,0.000239
200,0.000357
200,0.000567
200,0.000335
200,0.000353
200,0.000344
200,0.000388
200,0.000437
200,0.000443

300,0.001309
300,0.000914
300,0.000841
300,0.000800
300,0.000801
300,0.000942
300,0.000947
300,0.000906
300,0.000952
300,0.000881
300,0.001041
300,0.000648
300,0.000884
300,0.000962
300,0.000820
300,0.000909
300,0.000895
300,0.001133
300,0.000908
300,0.001353
300,0.000900
300,0.000880
300,0.000907
300,0.000867
300,0.000904
300,0.000896
300,0.000914
300,0.000888
300,0.000860
300,0.000873
300,0.000919
300,0.000865
300,0.001195
300,0.000827
300,0.000921
300,0.000822
300,0.000838
300,0.000836
300,0.000845
300,0.000846
300,0.000817
300,0.000924
300,0.001192
300,0.001190
300,0.001229
300,0.000994
300,0.001218
300,0.001333
300,0.002315
300,0.002066

400,0.001956
400,0.002558
400,0.002007
400,0.002124
400,0.001911
400,0.002702
400,0.003315
400,0.001896
400,0.002142
400,0.002126
400,0.001706
400,0.002167
400,0.002136
400,0.002126
400,0.001537
400,0.001773
400,0.001729
400,0.002455
400,0.001540
400,0.001203
400,0.001764
400,0.001637
400,0.002086
400,0.001561
400,0.001436
400,0.001613
400,0.001592
400,0.001454
400,0.001728
400,0.001625
400,0.001569
400,0.002409
400,0.001787
400,0.004838
400,0.002262
400,0.002124
400,0.001970
400,0.002108
400,0.002927
400,0.002126
400,0.002856
400,0.002158
400,0.003002
400,0.002120
400,0.002232
400,0.002901
400,0.002222
400,0.001812
400,0.002132
400,0.005497

500,0.003072
500,0.004797
500,0.002976
500,0.003927
500,0.004515
500,0.002953
500,0.003321
500,0.003227
500,0.003424
500,0.003329
500,0.003318
500,0.003362
500,0.003415
500,0.003543
500,0.003443
500,0.003343
500,0.003457
500,0.003115
500,0.003447
500,0.002925
500,0.003338
500,0.003572
500,0.003113
500,0.003164
500,0.003776
500,0.006378
500,0.003391
500,0.003314
500,0.003182
500,0.004035
500,0.003814
500,0.003911
500,0.003964
500,0.003927
500,0.003289
500,0.003759
500,0.003271
500,0.003159
500,0.004094
500,0.003580
500,0.003179
500,0.004490
500,0.003491
500,0.003148
500,0.003207
500,0.002893
500,0.002517
500,0.002534
500,0.002379
500,0.002577

600,0.005281
600,0.004727
600,0.004752
600,0.004779
600,0.005117
600,0.008555
600,0.005958
600,0.005075
600,0.003938
600,0.004229
600,0.003637
600,0.004062
600,0.005541
600,0.004544
600,0.004203
600,0.003691
600,0.004481
600,0.005047
600,0.004876
600,0.004027
600,0.004557
600,0.004499
600,0.005578
600,0.004590
600,0.005422
600,0.004751
600,0.004457
600,0.004094
600,0.004038
600,0.004698
600,0.004818
600,0.005105
