Dimension,Time
100,0.000121
100,0.000137
100,0.000129
100,0.000130
100,0.000132
100,0.000151
100,0.000234
100,0.000132
100,0.000132
100,0.000141
100,0.000130
100,0.000131
100,0.000131
100,0.000130
100,0.000131
100,0.000131
100,0.000129
100,0.000189
100,0.000141
100,0.000134
100,0.000130
100,0.000129
100,0.000134
100,0.000125
100,0.000130
100,0.000115
100,0.000085
100,0.000125
100,0.000126
100,0.000129
100,0.000130
100,0.000118
100,0.000085
100,0.000120
100,0.000107
100,0.000135
100,0.000085
100,0.000126
100,0.000216
100,0.000085
100,0.000126
100,0.000125
100,0.000135
100,0.000085
100,0.000127
100,0.000135
100,0.000085
100,0.000132
100,0.000104
100,0.000135

200,0.000468
200,0.000474
200,0.000453
200,0.000444
200,0.000438
200,0.000110
200,0.000335
200,0.000343
200,0.000343
200,0.000436
200,0.000436
200,0.000429
200,0.000396
200,0.000344
200,0.000335
200,0.000344
200,0.000343
200,0.000477
200,0.000410
200,0.000403
200,0.000438
200,0.000426
200,0.000376
200,0.000335
200,0.000335
200,0.000343
200,0.000344
200,0.000396
200,0.000567
200,0.000423
200,0.000434
200,0.000385
200,0.000371
200,0.000335
200,0.000344
200,0.000343
200,0.000359
200,0.000350
200,0.000457
200,0.000443
200,0.000534
200,0.000536
200,0.000529
200,0.000534
200,0.000532
200,0.000528
200,0.000530
200,0.000328
200,0.000528
200,0.000525

300,0.001185
300,0.001187
300,0.001292
300,0.001381
300,0.001228
300,0.001154
300,0.001293
300,0.001262
300,0.001196
300,0.001211
300,0.001977
300,0.001200
300,0.001190
300,0.000727
300,0.001190
300,0.001150
300,0.001289
300,0.001037
300,0.000727
300,0.000862
300,0.001605
300,0.000911
300,0.000962
300,0.000837
300,0.000934
300,0.000853
300,0.000753
300,0.000938
300,0.001500
300,0.000862
300,0.000811
300,0.000847
300,0.000917
300,0.001101
300,0.001090
300,0.001301
300,0.001283
300,0.000954
300,0.001186
300,0.001196
300,0.001279
300,0.001191
300,0.001182
300,0.001195
300,0.001208
300,0.001036
300,0.000902
300,0.000889
300,0.000991
300,0.001231

400,0.002034
400,0.002092
400,0.002113
400,0.002088
400,0.002045
400,0.002891
400,0.002142
400,0.002235
400,0.002118
400,0.001681
400,0.001729
400,0.001607
400,0.001549
400,0.001486
400,0.001669
400,0.001512
400,0.001536
400,0.002215
400,0.002795
400,0.002050
400,0.002174
400,0.002130
400,0.002177
400,0.005734
400,0.003493
400,0.002052
400,0.002824
400,0.002214
400,0.002096
400,0.002218
400,0.001951
400,0.002228
400,0.001757
400,0.001525
400,0.001489
400,0.001720
400,0.002195
400,0.002083
400,0.002389
400,0.002046
400,0.002425
400,0.001789
400,0.001362
400,0.001897
400,0.001948
400,0.001995
400,0.001929
400,0.001957
400,0.002451
400,0.001887

500,0.002774
500,0.003913
500,0.003246
500,0.003306
500,0.003391
500,0.003325
500,0.003259
500,0.003390
500,0.003335
500,0.003252
500,0.004254
500,0.003240
500,0.003315
500,0.003362
500,0.003438
500,0.003393
500,0.003015
500,0.002508
500,0.002852
500,0.002515
500,0.002272
500,0.003350
500,0.003136
500,0.003420
500,0.003235
500,0.003454
500,0.003826
500,0.002097
500,0.002482
500,0.002146
500,0.002415
500,0.002563
500,0.002508
500,0.002458
500,0.002479
500,0.002633
500,0.002373
500,0.002768
500,0.003826
500,0.003343
500,0.002639
500,0.003077
500,0.003370
500,0.003060
500,0.003333
500,0.002350
500,0.003180
500,0.002303
500,0.002226
500,0.002620

600,0.003724
600,0.004202
600,0.004781
600,0.004788
600,0.004872
600,0.005245
600,0.004909
600,0.004371
600,0.003548
