Dimension,Time
100,0.000121
100,0.000145
100,0.000131
100,0.000129
100,0.000131
100,0.000132
100,0.000131
100,0.000132
100,0.000141
100,0.000131
100,0.000132
100,0.000132
100,0.000132
100,0.000133
100,0.000131
100,0.000130
100,0.000143
100,0.000133
100,0.000129
100,0.000133
100,0.000127
100,0.000130
100,0.000133
100,0.000134
100,0.000129
100,0.000144
100,0.000085
100,0.000132
100,0.000110
100,0.000133
100,0.000139
100,0.000086
100,0.000135
100,0.000085
100,0.000126
100,0.000094
100,0.000115
100,0.000164
100,0.000093
100,0.000135
100,0.000085
100,0.000130
100,0.000130
100,0.000096
100,0.000111
100,0.000108
100,0.000133
100,0.000085
100,0.000125
100,0.000109

200,0.000443
200,0.000455
200,0.001056
200,0.000445
200,0.000425
200,0.000444
200,0.000399
200,0.000428
200,0.000385
200,0.000344
200,0.000331
200,0.000335
200,0.000343
200,0.000368
200,0.000423
200,0.000422
200,0.000415
200,0.000398
200,0.000342
200,0.000335
200,0.000345
200,0.000407
200,0.000343
200,0.000371
200,0.000950
200,0.000452
200,0.000432
200,0.000396
200,0.000363
200,0.000334
200,0.000343
200,0.000343
200,0.000403
200,0.000384
200,0.000459
200,0.000443
200,0.000407
200,0.000370
200,0.000334
200,0.000343
200,0.000627
200,0.000504
200,0.000532
200,0.000536
200,0.000679
200,0.000531
200,0.000529
200,0.000529
200,0.000622
200,0.000539

300,0.001190
300,0.001189
300,0.001195
300,0.001222
300,0.001037
300,0.001172
300,0.001151
300,0.001184
300,0.001190
300,0.001107
300,0.001292
300,0.001195
300,0.001215
300,0.001199
300,0.001182
300,0.001361
300,0.001146
300,0.001135
300,0.000788
300,0.000811
300,0.000870
300,0.000814
300,0.000624
300,0.000854
300,0.000845
300,0.000834
300,0.000791
300,0.000857
300,0.000846
300,0.000481
300,0.000847
300,0.000857
300,0.000839
300,0.001027
300,0.000974
300,0.001200
300,0.001224
300,0.001207
300,0.001178
300,0.001185
300,0.001199
300,0.001178
300,0.001189
300,0.002002
300,0.001278
300,0.001174
300,0.000944
300,0.000850
300,0.000899
300,0.001195

400,0.002102
400,0.002211
400,0.002102
400,0.002513
400,0.001728
400,0.002118
400,0.002099
400,0.002310
400,0.001802
400,0.002596
400,0.001810
400,0.001845
400,0.001553
400,0.002305
