Dimension,Time
1,0.013244
2,0.000145
3,0.000091
4,0.001426
5,0.000108
6,0.000125
7,0.000115
8,0.000119
9,0.000407
10,0.000115
11,0.000201
12,0.000206
13,0.000083
14,0.000151
15,0.000133
16,0.000337
17,0.000149
18,0.000695
19,0.000154
20,0.000122
21,0.000306
22,0.000124
23,0.000128
24,0.000268
25,0.000109
26,0.000230
27,0.000122
28,0.000311
29,0.000127
30,0.000267
31,0.000094
32,0.000124
33,0.000122
34,0.000369
35,0.000214
36,0.000117
37,0.000099
38,0.000154
39,0.000096
40,0.000118
41,0.000122
42,0.000174
43,0.000243
44,0.000113
45,0.000370
46,0.000144
47,0.000170
48,0.000480
49,0.000101
50,0.000095
51,0.000089
52,0.000041
53,0.000120
54,0.000091
55,0.000033
56,0.000032
57,0.000102
58,0.000040
59,0.000049
60,0.000033
61,0.000060
62,0.000028
63,0.000034
64,0.000061
65,0.000049
66,0.000040
67,0.000041
68,0.000037
69,0.000047
70,0.000044
71,0.000120
72,0.000042
73,0.000092
74,0.000335
75,0.000042
76,0.000035
77,0.000148
78,0.000033
79,0.000103
80,0.000091
81,0.000091
82,0.000423
83,0.000121
84,0.000100
85,0.000033
86,0.000540
87,0.000106
88,0.000032
89,0.000046
90,0.000483
91,0.000069
92,0.000096
93,0.000034
94,0.000045
95,0.000066
96,0.000035
97,0.000034
98,0.000046
99,0.000057
100,0.000040
101,0.000416
102,0.000035
103,0.000039
104,0.000052
105,0.000139
106,0.000040
107,0.000034
108,0.000103
109,0.000097
110,0.000096
111,0.000035
112,0.000034
113,0.000074
114,0.000051
115,0.000086
116,0.000093
117,0.000096
118,0.000100
119,0.000138
120,0.000196
121,0.000108
122,0.000102
123,0.000043
124,0.000129
125,0.000096
126,0.000128
127,0.000103
128,0.000168
129,0.000142
130,0.000118
131,0.000103
132,0.000094
133,0.000229
134,0.000103
135,0.000088
136,0.000094
137,0.000094
138,0.000165
139,0.000047
140,0.000134
141,0.000043
142,0.000099
143,0.000093
144,0.000219
145,0.000101
146,0.000099
147,0.000099
148,0.000359
149,0.000035
150,0.000097
151,0.000122
152,0.000039
153,0.000147
154,0.000129
155,0.000097
156,0.000200
157,0.000049
158,0.000054
159,0.000091
160,0.000102
161,0.000141
162,0.000107
163,0.000096
164,0.000089
165,0.000092
166,0.000236
167,0.000112
168,0.000044
169,0.000088
170,0.000187
171,0.000142
172,0.000060
173,0.000104
174,0.000099
175,0.000038
176,0.000039
177,0.000256
178,0.000102
179,0.000144
180,0.000118
181,0.000102
182,0.000058
183,0.000122
184,0.000110
185,0.000096
186,0.000044
187,0.000045
188,0.000134
189,0.000213
