ThreadCount,Time
1,0.212763
2,0.625609
3,0.581404
4,0.415559
5,0.397435
6,0.526003
7,0.349337
8,0.312863
9,0.355283
10,0.323864
11,0.274182
12,0.312665
13,0.275964
14,0.287501
15,0.280387
16,0.297657
17,0.258250
18,0.302300
19,0.270994
20,0.263599
21,0.275111
22,0.262077
23,0.258270
24,0.306550
25,0.279829
26,0.332467
27,0.318178
28,0.291712
29,0.289384
30,0.288384
31,0.291718
32,0.319210
33,0.295672
34,0.271044
35,0.278589
36,0.274342
37,0.274467
38,0.296699
39,0.303689
40,0.274433
41,0.292036
42,0.275027
43,0.295281
44,0.287651
45,0.283256
46,0.291736
47,0.289346
48,0.284538
49,0.289633
50,0.301487
51,0.297840
52,0.294375
53,0.290825
54,0.281831
55,0.254145
56,0.270566
57,0.236224
58,0.284767
59,0.274993
60,0.281320
61,0.254298
62,0.295399
63,0.250296
64,0.273596
65,0.292854
66,0.279258
67,0.281416
68,0.257320
69,0.266529
70,0.246246
71,0.248223
72,0.263679
73,0.263359
74,0.285006
75,0.292970
76,0.261605
77,0.266703
78,0.277410
79,0.252947
80,0.262489
81,0.266866
82,0.261968
83,0.269539
84,0.302541
85,0.276751
86,0.267012
87,0.254127
88,0.265799
89,0.300338
90,0.268516
91,0.285045
92,0.261088
93,0.292359
94,0.284817
95,0.266885
96,0.280101
97,0.275833
98,0.283691
99,0.276306
100,0.272218
101,0.271181
102,0.293495
103,0.280341
104,0.275658
105,0.272364
106,0.276592
107,0.286294
108,0.253285
109,0.265661
110,0.302572
111,0.258433
112,0.254240
113,0.293007
114,0.239693
115,0.276818
116,0.283669
117,0.307157
118,0.305862
119,0.279579
120,0.282800
121,0.267759
122,0.271347
123,0.267515
124,0.266748
125,0.275756
126,0.264426
127,0.275679
128,0.301260
129,0.268838
130,0.260614
131,0.271713
132,0.265561
133,0.309459
134,0.294746
135,0.278719
136,0.280676
137,0.282934
138,0.278988
139,0.288367
140,0.282253
141,0.286007
142,0.271861
143,0.291379
144,0.275412
145,0.298773
146,0.256116
147,0.271901
148,0.315120
149,0.321749
150,0.274723
151,0.335806
152,0.302596
153,0.323506
154,0.298102
155,0.295949
156,0.297788
157,0.284166
158,0.283963
159,0.267867
160,0.276844
161,0.280507
162,0.274129
163,0.292605
164,0.258662
165,0.306479
166,0.309179
167,0.293465
168,0.291390
169,0.299230
170,0.287873
171,0.295565
172,0.248251
173,0.324947
174,0.289082
175,0.276564
176,0.281605
177,0.264557
178,0.304823
179,0.297980
180,0.311024
181,0.343399
182,0.314614
183,0.315902
184,0.359539
185,0.343712
186,0.299866
187,0.340354
188,0.314033
189,0.321530
190,0.294591
191,0.292294
192,0.288855
193,0.278174
194,0.276129
195,0.285259
196,0.295295
197,0.284933
198,0.288001
199,0.273644
200,0.317435
201,0.296697
202,0.306847
203,0.306789
204,0.304085
205,0.331372
206,0.288394
207,0.293559
208,0.264446
209,0.294451
210,0.316039
211,0.299877
212,0.303825
213,0.294737
214,0.310581
215,0.305449
216,0.325143
217,0.305159
218,0.299945
219,0.309066
220,0.292430
221,0.316592
222,0.313316
223,0.322549
224,0.309535
225,0.298736
226,0.340382
227,0.314637
228,0.294525
229,0.335871
230,0.298634
231,0.293907
232,0.315617
233,0.294178
234,0.291862
235,0.304888
236,0.337531
237,0.317272
238,0.324491
239,0.307530
240,0.279676
241,0.317434
242,0.321733
243,0.329710
244,0.319875
245,0.331903
246,0.339065
247,0.301593
248,0.285635
249,0.308758
250,0.282155
251,0.302046
252,0.324428
253,0.293443
254,0.302265
255,0.290370
256,0.321585
257,0.302845
258,0.320773
259,0.313114
260,0.256329
261,0.302211
262,0.329729
263,0.316124
264,0.297900
265,0.315797
266,0.321879
267,0.301955
268,0.337214
269,0.309605
270,0.294351
271,0.325187
272,0.282550
273,0.311799
274,0.306357
275,0.320304
276,0.295835
277,0.279801
278,0.330882
279,0.317735
280,0.327278
281,0.317066
282,0.340478
283,0.293761
284,0.319158
285,0.322368
286,0.331345
287,0.317915
288,0.315672
289,0.327345
290,0.303032
291,0.339684
