Dimension,Time
1,0.013278
2,0.003840
3,0.000408
4,0.000323
5,0.000499
6,0.000291
7,0.000310
8,0.000381
9,0.000332
10,0.000427
11,0.000343
12,0.000413
13,0.000352
14,0.000515
15,0.000368
16,0.000629
17,0.000416
18,0.000403
19,0.000879
20,0.000317
21,0.000410
22,0.000364
23,0.000510
24,0.000468
25,0.000397
26,0.001276
27,0.000117
28,0.000204
29,0.000100
30,0.000099
31,0.000107
32,0.000141
33,0.000085
34,0.000104
35,0.000147
36,0.000145
37,0.000099
38,0.000152
39,0.000136
40,0.000108
41,0.000087
42,0.000147
43,0.000097
44,0.000150
45,0.000120
46,0.000152
47,0.000142
48,0.000115
49,0.000263
50,0.000118
51,0.000115
52,0.000118
53,0.000107
54,0.000090
55,0.000121
56,0.000142
57,0.000103
58,0.000103
59,0.000095
60,0.000103
61,0.000135
62,0.000122
63,0.000146
64,0.000089
65,0.000105
66,0.000161
67,0.000137
68,0.000145
69,0.000097
70,0.000084
71,0.000103
72,0.000111
73,0.000187
74,0.000138
75,0.000111
76,0.000108
77,0.000101
78,0.000096
79,0.000127
80,0.000151
81,0.000105
82,0.000126
83,0.000096
84,0.000088
85,0.000107
86,0.000139
87,0.000120
88,0.000202
89,0.000108
90,0.000145
91,0.000124
92,0.000165
93,0.000149
94,0.000120
95,0.000112
96,0.000197
97,0.000089
98,0.000088
99,0.000147
100,0.000157
101,0.000149
102,0.000144
103,0.000131
104,0.000137
105,0.000146
106,0.000151
107,0.000123
108,0.000143
109,0.000140
110,0.000176
111,0.000145
112,0.000153
113,0.000151
114,0.000143
115,0.000120
116,0.000213
117,0.000179
118,0.000086
119,0.000086
120,0.000140
121,0.000123
122,0.000137
123,0.000137
124,0.000087
125,0.000085
126,0.000085
127,0.000097
128,0.000087
129,0.000086
130,0.000086
131,0.000085
132,0.000098
133,0.000087
134,0.000086
135,0.000087
136,0.000086
137,0.000097
138,0.000086
139,0.000085
140,0.000084
141,0.000087
142,0.000088
143,0.000085
144,0.000086
145,0.000088
146,0.000105
147,0.000086
148,0.000088
149,0.000087
150,0.000139
151,0.000089
152,0.000087
153,0.000088
154,0.000183
155,0.000087
156,0.000087
157,0.000088
158,0.000087
159,0.000098
160,0.000087
161,0.000085
162,0.000088
163,0.000097
164,0.000087
165,0.000088
166,0.000088
167,0.000088
168,0.000097
169,0.000087
170,0.000087
171,0.000086
172,0.000097
173,0.000089
174,0.000087
175,0.000087
176,0.000087
177,0.000099
178,0.000088
179,0.000088
180,0.000088
181,0.000099
182,0.000088
183,0.000088
184,0.000088
185,0.000151
186,0.000089
187,0.000089
188,0.000087
189,0.000087
190,0.000090
191,0.000089
192,0.000088
193,0.000089
194,0.000100
195,0.000089
196,0.000090
197,0.000091
198,0.000092
199,0.000089
200,0.000089
201,0.000089
202,0.000090
203,0.000097
204,0.000089
205,0.000089
206,0.000089
207,0.000101
208,0.000089
209,0.000090
210,0.000090
211,0.000091
212,0.000109
213,0.000090
214,0.000089
215,0.000089
216,0.000105
217,0.000070
218,0.000069
219,0.000069
220,0.000130
221,0.000092
222,0.000090
223,0.000090
224,0.000090
225,0.000091
226,0.000089
227,0.000090
228,0.000090
229,0.000091
230,0.000089
231,0.000090
232,0.000090
233,0.000103
234,0.000092
235,0.000089
236,0.000091
237,0.000091
238,0.000090
239,0.000091
240,0.000090
241,0.000092
242,0.000197
243,0.000091
244,0.000091
245,0.000091
246,0.000101
247,0.000091
248,0.000090
249,0.000091
250,0.000091
251,0.000102
252,0.000091
253,0.000091
254,0.000169
255,0.000092
256,0.000104
257,0.000090
258,0.000091
259,0.000094
260,0.000091
261,0.000091
262,0.000091
263,0.000092
264,0.000092
265,0.000091
266,0.000092
267,0.000105
268,0.000092
269,0.000092
270,0.000092
271,0.000101
272,0.000094
273,0.000093
274,0.000091
275,0.000091
276,0.000093
277,0.000091
278,0.000092
279,0.000093
280,0.000105
281,0.000092
282,0.000091
283,0.000091
284,0.000103
285,0.000094
286,0.000091
287,0.000093
288,0.000151
289,0.000092
290,0.000092
291,0.000093
292,0.000103
293,0.000093
294,0.000093
295,0.000093
296,0.000104
297,0.000093
298,0.000092
299,0.000092
300,0.000094
301,0.000104
302,0.000094
303,0.000092
304,0.000092
305,0.000105
306,0.000093
307,0.000093
308,0.000094
309,0.000108
310,0.000094
311,0.000095
312,0.000095
313,0.000367
314,0.000107
315,0.000125
316,0.000097
317,0.000099
318,0.000229
319,0.000097
320,0.000105
321,0.000107
322,0.000094
323,0.000251
324,0.000098
325,0.000100
326,0.000095
327,0.000095
328,0.000096
329,0.000109
330,0.000095
331,0.000095
332,0.000095
333,0.000107
334,0.000096
335,0.000097
336,0.000097
337,0.000125
338,0.000103
339,0.000104
340,0.000106
341,0.000122
342,0.000096
343,0.000094
344,0.000098
345,0.000102
346,0.000097
347,0.000097
