Dimension,Average,Min,Max,Range,Variance
100,0.000108,0.000028,0.000443,0.000415,0.000000
200,0.000387,0.000074,0.000555,0.000481,0.000000
300,0.000992,0.000442,0.002091,0.001649,0.000001
400,0.002264,0.001352,0.009828,0.008476,0.000007
500,0.003723,0.002317,0.007007,0.004690,0.000015
600,0.005071,0.003382,0.010621,0.007239,0.000028
700,0.006838,0.004899,0.010687,0.005788,0.000049
800,0.009189,0.006180,0.018910,0.012730,0.000090
900,0.013254,0.008495,0.018925,0.010430,0.000179
1000,0.017903,0.012602,0.027546,0.014944,0.000329
1100,0.022120,0.016813,0.037137,0.020324,0.000502
1200,0.029856,0.023292,0.045258,0.021966,0.000906
1300,0.033969,0.026234,0.040797,0.014563,0.001164
1400,0.041445,0.033087,0.050470,0.017383,0.001730
1500,0.052774,0.045246,0.067506,0.022260,0.002813
1600,0.057989,0.046853,0.072044,0.025191,0.003390
1700,0.064777,0.051485,0.079939,0.028454,0.004235
1800,0.076966,0.063458,0.086620,0.023162,0.005955
1900,0.087855,0.075094,0.103210,0.028116,0.007778
2000,0.096590,0.081523,0.111317,0.029794,0.009392
2100,0.110040,0.090360,0.131643,0.041283,0.012171
2200,0.125812,0.112139,0.141505,0.029366,0.015897
2300,0.140129,0.123957,0.153073,0.029116,0.019679
2400,0.152812,0.134210,0.178974,0.044764,0.023446
2500,0.165350,0.150564,0.181454,0.030890,0.027395
2600,0.185427,0.164870,0.238492,0.073622,0.034558
2700,0.198772,0.183476,0.223126,0.039650,0.039605
2800,0.217879,0.197614,0.242570,0.044956,0.047563
2900,0.236684,0.214184,0.362511,0.148327,0.056443
3000,0.254825,0.234204,0.310320,0.076116,0.065190
3100,0.270196,0.251806,0.294172,0.042366,0.073115
3200,0.289869,0.269949,0.324251,0.054302,0.084173
3300,0.310677,0.286743,0.333392,0.046649,0.096639
3400,0.330728,0.307689,0.356568,0.048879,0.109524
3500,0.351768,0.330223,0.376046,0.045823,0.123866
3600,0.372208,0.349811,0.398769,0.048958,0.138680
3700,0.399945,0.370634,0.468344,0.097710,0.160232
3800,0.423743,0.405246,0.458791,0.053545,0.179717
3900,0.455571,0.416224,0.558986,0.142762,0.208258
4000,0.474069,0.444413,0.506103,0.061690,0.224862
4100,0.501452,0.470706,0.553928,0.083222,0.251673
4200,0.532769,0.499746,0.609960,0.110214,0.284190
4300,0.564583,0.530386,0.657387,0.127001,0.319133
4400,0.593137,0.570645,0.643528,0.072883,0.352014
4500,0.689710,0.605151,1.131098,0.525947,0.490299
4600,0.660102,0.615496,0.780663,0.165167,0.436569
4700,0.688146,0.662422,0.730924,0.068502,0.473748
4800,0.718630,0.683696,0.764261,0.080565,0.516726
4900,0.749410,0.713053,0.800014,0.086961,0.561932
5000,0.781173,0.739707,0.837307,0.097600,0.610589
Dimension,Average,Min,Max,Range,Variance
100,0.000101,0.000085,0.000178,0.000093,0.000000
200,0.000426,0.000161,0.001223,0.001062,0.000000
300,0.000999,0.000648,0.002315,0.001667,0.000001
400,0.002173,0.001203,0.005497,0.004294,0.000005
500,0.003467,0.002379,0.006378,0.003999,0.000012
600,0.004966,0.003383,0.013333,0.009950,0.000027
700,0.007062,0.004710,0.013554,0.008844,0.000053
