Dimension,Average,Min,Max,Range,Variance
100,0.000101,0.000085,0.000178,0.000093,0.000000
200,0.000426,0.000161,0.001223,0.001062,0.000000
300,0.000999,0.000648,0.002315,0.001667,0.000001
400,0.002173,0.001203,0.005497,0.004294,0.000005
500,0.003467,0.002379,0.006378,0.003999,0.000012
600,0.004966,0.003383,0.013333,0.009950,0.000027
700,0.007062,0.004710,0.013554,0.008844,0.000053
800,0.008440,0.006332,0.010434,0.004102,0.000073
900,0.012225,0.008682,0.023811,0.015129,0.000154
1000,0.014962,0.010592,0.021904,0.011312,0.000228
1100,0.018332,0.012851,0.026152,0.013301,0.000343
1200,0.020996,0.015593,0.026203,0.010610,0.000448
1300,0.026053,0.019119,0.032237,0.013118,0.000686
1400,0.029249,0.021796,0.038092,0.016296,0.000870
1500,0.035110,0.025324,0.046416,0.021092,0.001260
1600,0.039150,0.028979,0.051486,0.022507,0.001559
1700,0.043264,0.032588,0.054426,0.021838,0.001901
1800,0.048469,0.036460,0.062289,0.025829,0.002402
1900,0.054462,0.041295,0.072841,0.031546,0.003014
2000,0.059082,0.045185,0.075894,0.030709,0.003548
2100,0.068771,0.053739,0.087140,0.033401,0.004776
2200,0.074781,0.055535,0.093609,0.038074,0.005678
2300,0.077506,0.060225,0.112974,0.052749,0.006118
2400,0.082505,0.065361,0.102053,0.036692,0.006902
2500,0.092801,0.073613,0.111552,0.037939,0.008716
2600,0.103885,0.077058,0.125011,0.047953,0.010907
2700,0.109592,0.083727,0.136339,0.052612,0.012146
2800,0.118899,0.099740,0.137585,0.037845,0.014223
2900,0.130849,0.100416,0.163905,0.063489,0.017266
3000,0.138672,0.110546,0.168928,0.058382,0.019389
3100,0.143820,0.113359,0.169679,0.056320,0.020870
3200,0.155492,0.124370,0.189838,0.065468,0.024387
3300,0.166691,0.143268,0.199860,0.056592,0.027939
3400,0.174091,0.142111,0.206697,0.064586,0.030520
3500,0.187194,0.150614,0.215551,0.064937,0.035220
3600,0.198503,0.163277,0.229878,0.066601,0.039640
3700,0.207013,0.172212,0.240149,0.067937,0.043068
3800,0.220911,0.178927,0.260155,0.081228,0.049051
3900,0.232322,0.193910,0.279323,0.085413,0.054295
4000,0.240184,0.213018,0.263716,0.050698,0.057887
4100,0.250014,0.224475,0.282287,0.057812,0.062687
4200,0.267140,0.234659,0.306503,0.071844,0.071610
4300,0.279353,0.239412,0.313682,0.074270,0.078230
4400,0.291700,0.255163,0.328218,0.073055,0.085324
4500,0.320609,0.260785,0.402251,0.141466,0.103703
4600,0.320592,0.283252,0.359655,0.076403,0.103020
4700,0.333498,0.293824,0.384817,0.090993,0.111557
4800,0.345606,0.310400,0.379788,0.069388,0.119705
4900,0.360634,0.323096,0.397458,0.074362,0.130410
5000,0.379998,0.332719,0.423593,0.090874,0.144819
