Thread,Average,Min,Max,Range,Variance
1,0.152683,0.125898,0.188084,0.062186,0.023468
2,0.235735,0.165056,0.257223,0.092167,0.055757
3,0.238393,0.211989,0.263499,0.051510,0.056946
4,0.239069,0.219792,0.266236,0.046444,0.057247
5,0.237508,0.217232,0.264176,0.046944,0.056520
6,0.238909,0.220893,0.258711,0.037818,0.057157
7,0.236096,0.217423,0.258022,0.040599,0.055820
8,0.234784,0.218835,0.259237,0.040402,0.055218
9,0.238404,0.223283,0.256780,0.033497,0.056912
10,0.237158,0.217739,0.263434,0.045695,0.056387
11,0.234844,0.215430,0.259175,0.043745,0.055231
12,0.233940,0.220957,0.252804,0.031847,0.054780
13,0.234982,0.217473,0.261307,0.043834,0.055322
14,0.235426,0.214487,0.262689,0.048202,0.055556
15,0.233664,0.215582,0.254275,0.038693,0.054668
16,0.233572,0.219303,0.256335,0.037032,0.054633
17,0.232495,0.217550,0.253458,0.035908,0.054110
18,0.236242,0.223797,0.264417,0.040620,0.055885
19,0.234800,0.215808,0.251067,0.035259,0.055199
20,0.236234,0.218699,0.258987,0.040288,0.055918
21,0.235065,0.217718,0.259449,0.041731,0.055354
22,0.236984,0.222260,0.255345,0.033085,0.056238
23,0.235879,0.218554,0.253026,0.034472,0.055710
24,0.231377,0.217648,0.250931,0.033283,0.053601
25,0.232364,0.216320,0.246418,0.030098,0.054041
26,0.232938,0.214459,0.258431,0.043972,0.054330
27,0.241301,0.222276,0.286854,0.064578,0.058363
28,0.236673,0.219756,0.262632,0.042876,0.056083
29,0.238513,0.218452,0.266564,0.048112,0.056991
30,0.239105,0.223272,0.259071,0.035799,0.057231
31,0.238656,0.220180,0.266789,0.046609,0.057044
32,0.240414,0.217844,0.266726,0.048882,0.057891
33,0.320341,0.223773,0.446997,0.223224,0.105694
34,0.346393,0.273554,0.419086,0.145532,0.121127
35,0.308776,0.232893,0.398023,0.165130,0.098658
36,0.237662,0.214978,0.267159,0.052181,0.056581
37,0.240470,0.218720,0.274672,0.055952,0.057945
38,0.240387,0.217086,0.271376,0.054290,0.057899
39,0.240377,0.223872,0.259914,0.036042,0.057861
40,0.238140,0.221388,0.255784,0.034396,0.056769
41,0.239581,0.220921,0.263575,0.042654,0.057505
42,0.239844,0.222536,0.257046,0.034510,0.057586
43,0.236857,0.219743,0.275997,0.056254,0.056231
44,0.237319,0.219785,0.257036,0.037251,0.056405
45,0.239660,0.210656,0.273864,0.063208,0.057558
46,0.239524,0.216196,0.280198,0.064002,0.057510
47,0.237695,0.217189,0.262433,0.045244,0.056613
48,0.234753,0.210725,0.270094,0.059369,0.055263
