Dimension,Average,Min,Max,Range,Variance
1,0.000326,0.000071,0.011327,0.011256,0.000003
2,0.000288,0.000087,0.001326,0.001239,0.000000
3,0.000806,0.000143,0.009613,0.009470,0.000002
4,0.000487,0.000306,0.001336,0.001030,0.000000
5,0.000450,0.000233,0.000821,0.000588,0.000000
6,0.000427,0.000217,0.001601,0.001384,0.000000
7,0.000448,0.000285,0.000765,0.000480,0.000000
8,0.000425,0.000264,0.000872,0.000608,0.000000
9,0.000416,0.000287,0.000994,0.000707,0.000000
10,0.000431,0.000269,0.001003,0.000734,0.000000
11,0.000425,0.000263,0.000802,0.000539,0.000000
12,0.000373,0.000204,0.000893,0.000689,0.000000
13,0.000492,0.000241,0.000898,0.000657,0.000000
14,0.000429,0.000210,0.000813,0.000603,0.000000
15,0.000491,0.000213,0.001955,0.001742,0.000000
16,0.000435,0.000261,0.001321,0.001060,0.000000
17,0.000423,0.000236,0.000690,0.000454,0.000000
18,0.000403,0.000177,0.000699,0.000522,0.000000
19,0.000424,0.000273,0.000878,0.000605,0.000000
20,0.000425,0.000255,0.001048,0.000793,0.000000
21,0.000494,0.000213,0.001097,0.000884,0.000000
22,0.000467,0.000207,0.001172,0.000965,0.000000
23,0.000435,0.000248,0.001001,0.000753,0.000000
24,0.000430,0.000175,0.004354,0.004179,0.000001
25,0.000364,0.000178,0.000784,0.000606,0.000000
26,0.000394,0.000204,0.000753,0.000549,0.000000
27,0.000391,0.000267,0.000776,0.000509,0.000000
28,0.000358,0.000187,0.000955,0.000768,0.000000
29,0.000509,0.000178,0.008992,0.008814,0.000002
30,0.000462,0.000180,0.001444,0.001264,0.000000
31,0.000447,0.000254,0.000813,0.000559,0.000000
32,0.000325,0.000177,0.000687,0.000510,0.000000
33,0.000451,0.000248,0.000798,0.000550,0.000000
34,0.000420,0.000279,0.000969,0.000690,0.000000
35,0.000388,0.000157,0.000580,0.000423,0.000000
36,0.000428,0.000310,0.000688,0.000378,0.000000
37,0.000504,0.000277,0.001616,0.001339,0.000000
38,0.000487,0.000259,0.000890,0.000631,0.000000
39,0.000412,0.000281,0.000818,0.000537,0.000000
40,0.000365,0.000257,0.000567,0.000310,0.000000
41,0.000449,0.000288,0.001327,0.001039,0.000000
42,0.000421,0.000272,0.000891,0.000619,0.000000
43,0.000535,0.000301,0.005429,0.005128,0.000001
44,0.000453,0.000289,0.001070,0.000781,0.000000
45,0.000470,0.000276,0.000816,0.000540,0.000000
46,0.000500,0.000261,0.001128,0.000867,0.000000
47,0.000433,0.000300,0.000782,0.000482,0.000000
48,0.000480,0.000306,0.003031,0.002725,0.000000
49,0.000424,0.000279,0.000722,0.000443,0.000000
50,0.000370,0.000227,0.000888,0.000661,0.000000
51,0.000427,0.000221,0.000603,0.000382,0.000000
52,0.000446,0.000269,0.001160,0.000891,0.000000
53,0.000455,0.000302,0.000864,0.000562,0.000000
54,0.000508,0.000282,0.001040,0.000758,0.000000
55,0.000528,0.000278,0.001084,0.000806,0.000000
56,0.000318,0.000194,0.000632,0.000438,0.000000
57,0.000333,0.000195,0.000845,0.000650,0.000000
58,0.000407,0.000217,0.000972,0.000755,0.000000
59,0.000436,0.000296,0.000835,0.000539,0.000000
60,0.000425,0.000322,0.000601,0.000279,0.000000
61,0.000466,0.000212,0.001203,0.000991,0.000000
62,0.000429,0.000203,0.000739,0.000536,0.000000
63,0.000529,0.000300,0.001245,0.000945,0.000000
64,0.000502,0.000213,0.001313,0.001100,0.000000
65,0.000377,0.000180,0.000822,0.000642,0.000000
66,0.000392,0.000259,0.000813,0.000554,0.000000
67,0.000382,0.000201,0.000619,0.000418,0.000000
68,0.000403,0.000207,0.000655,0.000448,0.000000
69,0.000406,0.000251,0.000745,0.000494,0.000000
70,0.000397,0.000215,0.001309,0.001094,0.000000
71,0.000417,0.000242,0.000706,0.000464,0.000000
72,0.000436,0.000313,0.000720,0.000407,0.000000
73,0.000430,0.000211,0.000762,0.000551,0.000000
74,0.000449,0.000332,0.000682,0.000350,0.000000
75,0.000511,0.000291,0.003833,0.003542,0.000000
76,0.000414,0.000268,0.000654,0.000386,0.000000
77,0.000414,0.000293,0.001078,0.000785,0.000000
78,0.000472,0.000295,0.000913,0.000618,0.000000
79,0.000473,0.000290,0.000755,0.000465,0.000000
80,0.000500,0.000278,0.005095,0.004817,0.000001
81,0.000440,0.000310,0.000940,0.000630,0.000000
82,0.000431,0.000294,0.001168,0.000874,0.000000
83,0.000412,0.000283,0.000766,0.000483,0.000000
84,0.000588,0.000331,0.008107,0.007776,0.000002
85,0.000404,0.000293,0.000553,0.000260,0.000000
86,0.000458,0.000208,0.003297,0.003089,0.000000
87,0.000487,0.000258,0.000866,0.000608,0.000000
88,0.000457,0.000272,0.001031,0.000759,0.000000
89,0.000441,0.000234,0.000916,0.000682,0.000000
90,0.000427,0.000270,0.001007,0.000737,0.000000
91,0.000613,0.000266,0.009216,0.008950,0.000002
92,0.000440,0.000272,0.000878,0.000606,0.000000
93,0.000430,0.000308,0.000830,0.000522,0.000000
94,0.000361,0.000194,0.000672,0.000478,0.000000
95,0.000615,0.000209,0.008008,0.007799,0.000002
96,0.000497,0.000294,0.001286,0.000992,0.000000
97,0.000456,0.000220,0.001363,0.001143,0.000000
98,0.000432,0.000266,0.000893,0.000627,0.000000
99,0.000443,0.000272,0.001472,0.001200,0.000000
100,0.000393,0.000220,0.000918,0.000698,0.000000
101,0.000393,0.000260,0.000602,0.000342,0.000000
102,0.000558,0.000255,0.009591,0.009336,0.000002
103,0.000558,0.000201,0.004648,0.004447,0.000001
104,0.000459,0.000211,0.000805,0.000594,0.000000
105,0.000415,0.000212,0.000630,0.000418,0.000000
106,0.000397,0.000189,0.000748,0.000559,0.000000
107,0.000414,0.000206,0.004604,0.004398,0.000001
108,0.000430,0.000266,0.001083,0.000817,0.000000
109,0.000468,0.000208,0.001164,0.000956,0.000000
110,0.000486,0.000250,0.001460,0.001210,0.000000
111,0.000464,0.000208,0.001139,0.000931,0.000000
112,0.000418,0.000199,0.000931,0.000732,0.000000
113,0.000402,0.000214,0.000775,0.000561,0.000000
114,0.000322,0.000208,0.000662,0.000454,0.000000
115,0.000412,0.000214,0.000688,0.000474,0.000000
116,0.000407,0.000271,0.000834,0.000563,0.000000
117,0.000440,0.000248,0.001069,0.000821,0.000000
118,0.000429,0.000208,0.001053,0.000845,0.000000
119,0.000505,0.000294,0.001061,0.000767,0.000000
120,0.000452,0.000259,0.001252,0.000993,0.000000
121,0.000472,0.000285,0.003633,0.003348,0.000000
122,0.000395,0.000265,0.000638,0.000373,0.000000
123,0.000370,0.000258,0.000671,0.000413,0.000000
124,0.000453,0.000270,0.004143,0.003873,0.000000
125,0.000496,0.000261,0.004694,0.004433,0.000001
126,0.000387,0.000256,0.000676,0.000420,0.000000
127,0.000428,0.000263,0.000957,0.000694,0.000000
128,0.000466,0.000198,0.001060,0.000862,0.000000
129,0.000498,0.000297,0.002444,0.002147,0.000000
130,0.000401,0.000209,0.000744,0.000535,0.000000
131,0.000646,0.000223,0.011390,0.011167,0.000003
132,0.000688,0.000289,0.013786,0.013497,0.000004
133,0.000453,0.000205,0.001061,0.000856,0.000000
134,0.000446,0.000263,0.000857,0.000594,0.000000
135,0.000533,0.000246,0.001291,0.001045,0.000000
136,0.000495,0.000281,0.001124,0.000843,0.000000
137,0.000440,0.000200,0.001098,0.000898,0.000000
138,0.000538,0.000298,0.005108,0.004810,0.000001
139,0.000506,0.000207,0.001195,0.000988,0.000000
140,0.000527,0.000188,0.001165,0.000977,0.000000
141,0.000416,0.000250,0.000691,0.000441,0.000000
142,0.000430,0.000277,0.001116,0.000839,0.000000
143,0.000399,0.000289,0.000623,0.000334,0.000000
144,0.000322,0.000198,0.000548,0.000350,0.000000
145,0.000427,0.000303,0.000602,0.000299,0.000000
146,0.000409,0.000248,0.001445,0.001197,0.000000
147,0.000441,0.000314,0.000890,0.000576,0.000000
148,0.000460,0.000314,0.000778,0.000464,0.000000
149,0.000471,0.000294,0.000941,0.000647,0.000000
150,0.000420,0.000258,0.000765,0.000507,0.000000
151,0.000436,0.000293,0.000932,0.000639,0.000000
152,0.000346,0.000197,0.000633,0.000436,0.000000
153,0.000510,0.000278,0.005553,0.005275,0.000001
154,0.000420,0.000243,0.000778,0.000535,0.000000
155,0.000436,0.000320,0.000835,0.000515,0.000000
156,0.000443,0.000281,0.000921,0.000640,0.000000
157,0.000497,0.000202,0.000917,0.000715,0.000000
158,0.000529,0.000306,0.003575,0.003269,0.000000
159,0.000436,0.000302,0.001469,0.001167,0.000000
160,0.000436,0.000299,0.000919,0.000620,0.000000
161,0.000391,0.000280,0.000558,0.000278,0.000000
162,0.000375,0.000199,0.000799,0.000600,0.000000
163,0.000377,0.000279,0.000782,0.000503,0.000000
164,0.000431,0.000286,0.001317,0.001031,0.000000
165,0.000435,0.000306,0.000738,0.000432,0.000000
166,0.000515,0.000241,0.001457,0.001216,0.000000
167,0.000419,0.000211,0.000751,0.000540,0.000000
168,0.000447,0.000204,0.004821,0.004617,0.000001
169,0.000379,0.000217,0.000617,0.000400,0.000000
170,0.000431,0.000291,0.001174,0.000883,0.000000
171,0.000415,0.000196,0.000708,0.000512,0.000000
172,0.000389,0.000223,0.000562,0.000339,0.000000
173,0.000417,0.000209,0.000879,0.000670,0.000000
174,0.000433,0.000284,0.001121,0.000837,0.000000
175,0.000412,0.000199,0.000868,0.000669,0.000000
176,0.000558,0.000310,0.005348,0.005038,0.000001
177,0.000517,0.000205,0.001012,0.000807,0.000000
178,0.000485,0.000241,0.000944,0.000703,0.000000
179,0.000445,0.000214,0.001202,0.000988,0.000000
180,0.000452,0.000236,0.001235,0.000999,0.000000
181,0.000430,0.000283,0.000693,0.000410,0.000000
182,0.000436,0.000286,0.001050,0.000764,0.000000
183,0.000396,0.000265,0.000722,0.000457,0.000000
184,0.000338,0.000180,0.000700,0.000520,0.000000
185,0.000492,0.000293,0.001179,0.000886,0.000000
186,0.000513,0.000217,0.001095,0.000878,0.000000
187,0.000419,0.000197,0.001114,0.000917,0.000000
188,0.000451,0.000189,0.001137,0.000948,0.000000
189,0.000504,0.000257,0.004808,0.004551,0.000001
190,0.000393,0.000197,0.000736,0.000539,0.000000
191,0.000335,0.000184,0.000567,0.000383,0.000000
192,0.000335,0.000177,0.000838,0.000661,0.000000
193,0.000739,0.000196,0.014597,0.014401,0.000004
194,0.000540,0.000205,0.000979,0.000774,0.000000
195,0.000461,0.000283,0.000839,0.000556,0.000000
196,0.000489,0.000313,0.000998,0.000685,0.000000
197,0.000507,0.000272,0.003812,0.003540,0.000000
198,0.000433,0.000289,0.001653,0.001364,0.000000
199,0.000350,0.000198,0.000928,0.000730,0.000000
200,0.000532,0.000273,0.006775,0.006502,0.000001
