n,Average,Min,Max,Range,Variance
1000,0.000041,0.000003,0.000959,0.000956,0.000000
2000,0.000004,0.000004,0.000004,0.000000,0.000000
3000,0.000022,0.000005,0.000031,0.000026,0.000000
4000,0.000044,0.000028,0.000325,0.000297,0.000000
5000,0.000031,0.000029,0.000031,0.000002,0.000000
6000,0.000041,0.000030,0.000264,0.000234,0.000000
7000,0.000032,0.000031,0.000033,0.000002,0.000000
8000,0.000033,0.000031,0.000034,0.000003,0.000000
9000,0.000034,0.000032,0.000035,0.000003,0.000000
10000,0.000038,0.000034,0.000068,0.000034,0.000000
11000,0.000037,0.000035,0.000048,0.000013,0.000000
12000,0.000037,0.000035,0.000046,0.000011,0.000000
13000,0.000038,0.000037,0.000052,0.000015,0.000000
14000,0.000038,0.000036,0.000038,0.000002,0.000000
15000,0.000039,0.000037,0.000039,0.000002,0.000000
16000,0.000041,0.000038,0.000066,0.000028,0.000000
17000,0.000040,0.000038,0.000041,0.000003,0.000000
18000,0.000041,0.000039,0.000050,0.000011,0.000000
19000,0.000044,0.000040,0.000098,0.000058,0.000000
20000,0.000043,0.000041,0.000043,0.000002,0.000000
21000,0.000044,0.000042,0.000044,0.000002,0.000000
22000,0.000045,0.000043,0.000053,0.000010,0.000000
23000,0.000045,0.000044,0.000046,0.000002,0.000000
24000,0.000046,0.000045,0.000057,0.000012,0.000000
25000,0.000047,0.000045,0.000048,0.000003,0.000000
26000,0.000047,0.000046,0.000048,0.000002,0.000000
27000,0.000049,0.000047,0.000059,0.000012,0.000000
28000,0.000051,0.000048,0.000082,0.000034,0.000000
29000,0.000052,0.000050,0.000106,0.000056,0.000000
30000,0.000051,0.000050,0.000052,0.000002,0.000000
31000,0.000054,0.000051,0.000110,0.000059,0.000000
32000,0.000053,0.000051,0.000062,0.000011,0.000000
33000,0.000055,0.000052,0.000080,0.000028,0.000000
34000,0.000055,0.000053,0.000056,0.000003,0.000000
35000,0.000057,0.000055,0.000078,0.000023,0.000000
36000,0.000066,0.000056,0.000276,0.000220,0.000000
37000,0.000059,0.000056,0.000088,0.000032,0.000000
38000,0.000071,0.000057,0.000361,0.000304,0.000000
39000,0.000060,0.000058,0.000060,0.000002,0.000000
40000,0.000061,0.000059,0.000085,0.000026,0.000000
41000,0.000062,0.000061,0.000073,0.000012,0.000000
42000,0.000093,0.000061,0.000840,0.000779,0.000000
43000,0.000064,0.000062,0.000073,0.000011,0.000000
44000,0.000064,0.000063,0.000071,0.000008,0.000000
45000,0.000074,0.000063,0.000284,0.000221,0.000000
46000,0.000066,0.000065,0.000066,0.000001,0.000000
47000,0.000068,0.000066,0.000085,0.000019,0.000000
48000,0.000068,0.000067,0.000068,0.000001,0.000000
