Thread Count, Parallel Trapezoidal Approximation, Time, Error, Abs Error
2,0.99999995668,0.11926262300,3.411960e-11,3.411960e-11
100,0.99999995668,0.07052065400,3.415834e-11,3.415834e-11
200,0.99999995668,0.07178958500,3.415779e-11,3.415779e-11
300,0.99999995668,0.07719988300,3.415745e-11,3.415745e-11
400,0.99999995668,0.07878902899,3.415845e-11,3.415845e-11
500,0.99999995668,0.08120423800,3.415834e-11,3.415834e-11
600,0.99999995668,0.08451722300,3.415745e-11,3.415745e-11
700,0.99999995668,0.08905431601,3.415768e-11,3.415768e-11
800,0.99999995668,0.09185320600,3.415734e-11,3.415734e-11
900,0.99999995668,0.09074106200,3.415845e-11,3.415845e-11
1000,0.99999995668,0.09458396799,3.415690e-11,3.415690e-11
1100,0.99999995668,0.09651702300,3.415801e-11,3.415801e-11
1200,0.99999995668,0.10028346500,3.415923e-11,3.415923e-11
1300,0.99999995668,0.10250635300,3.415923e-11,3.415923e-11
1400,0.99999995668,0.10396860901,3.415790e-11,3.415790e-11
1500,0.99999995668,0.10752884600,3.415790e-11,3.415790e-11
1600,0.99999995668,0.11732027600,3.415890e-11,3.415890e-11
1700,0.99999995668,0.11430122600,3.415679e-11,3.415679e-11
1800,0.99999995668,0.11784742201,3.416101e-11,3.416101e-11
1900,0.99999995668,0.11496778300,3.415512e-11,3.415512e-11
2000,0.99999995668,0.11959683399,3.415646e-11,3.415646e-11
2100,0.99999995668,0.11988370300,3.415701e-11,3.415701e-11
2200,0.99999995668,0.13716273899,3.415490e-11,3.415490e-11
2300,0.99999995668,0.12600551501,3.415979e-11,3.415979e-11
2400,0.99999995668,0.13219103900,3.415934e-11,3.415934e-11
2500,0.99999995668,0.13233378899,3.416067e-11,3.416067e-11
2600,0.99999995668,0.13397723899,3.415646e-11,3.415646e-11
2700,0.99999995668,0.14682424400,3.415934e-11,3.415934e-11
2800,0.99999995668,0.14441274300,3.415990e-11,3.415990e-11
2900,0.99999995668,0.14355356801,3.415279e-11,3.415279e-11
3000,0.99999995668,0.14566989099,3.415546e-11,3.415546e-11
3100,0.99999995668,0.16556528599,3.415446e-11,3.415446e-11
3200,0.99999995668,0.16617389899,3.415979e-11,3.415979e-11
3300,0.99999995668,0.15148457800,3.415779e-11,3.415779e-11
3400,0.99999995668,0.16016653701,3.415834e-11,3.415834e-11
3500,0.99999995668,0.16895523701,3.416112e-11,3.416112e-11
3600,0.99999995668,0.16410303599,3.416101e-11,3.416101e-11
3700,0.99999995668,0.16963351201,3.416034e-11,3.416034e-11
3800,0.99999995668,0.18721437101,3.415468e-11,3.415468e-11
3900,0.99999995668,0.17895554901,3.415512e-11,3.415512e-11
4000,0.99999995668,0.18062793900,3.415734e-11,3.415734e-11
4100,0.99999995668,0.17980864699,3.416156e-11,3.416156e-11
4200,0.99999995668,0.18397427000,3.415956e-11,3.415956e-11
4300,0.99999995668,0.19519886101,3.415634e-11,3.415634e-11
4400,0.99999995668,0.18761703001,3.415823e-11,3.415823e-11
4500,0.99999995668,0.21325282200,3.415879e-11,3.415879e-11
4600,0.99999995668,0.18865341999,3.416023e-11,3.416023e-11
4700,0.99999995668,0.21511794100,3.415734e-11,3.415734e-11
4800,0.99999995668,0.20791396900,3.415657e-11,3.415657e-11
4900,0.99999995668,0.21262076900,3.415690e-11,3.415690e-11
5000,0.99999995668,0.22062725300,3.415301e-11,3.415301e-11
5100,0.99999995668,0.20662211100,3.415990e-11,3.415990e-11
5200,0.99999995668,0.22800924101,3.416056e-11,3.416056e-11
5300,0.99999995668,0.21810272800,3.415312e-11,3.415312e-11
5400,0.99999995668,0.23188003199,3.415590e-11,3.415590e-11
5500,0.99999995668,0.22399722501,3.415701e-11,3.415701e-11
5600,0.99999995668,0.21985644699,3.415890e-11,3.415890e-11
