Partition Size, Serial Trapezoidal Approximation, Time, Error, Abs Error
1,0.00000000000,0.00000034101,1.000000e+00,1.000000e+00
101,0.99673869066,0.00005886001,3.261266e-03,3.261266e-03
201,0.99917529857,0.00010003299,8.246581e-04,8.246581e-04
301,0.99963212155,0.00014438100,3.678352e-04,3.678352e-04
401,0.99979268482,0.00019131700,2.072719e-04,2.072719e-04
501,0.99986716402,0.00023934300,1.327927e-04,1.327927e-04
601,0.99990767571,0.00028645901,9.228101e-05,9.228101e-05
701,0.99993212502,0.00033413099,6.783170e-05,6.783170e-05
801,0.99994800392,0.00038145400,5.195279e-05,5.195279e-05
901,0.99995889583,0.00046401200,4.106088e-05,4.106088e-05
1001,0.99996668978,0.00047681099,3.326694e-05,3.326694e-05
1101,0.99997245822,0.00053874801,2.749849e-05,2.749849e-05
1201,0.99997684673,0.00058454201,2.310999e-05,2.310999e-05
1301,0.99998026275,0.00062006600,1.969396e-05,1.969396e-05
1401,0.99998297376,0.00066902999,1.698295e-05,1.698295e-05
1501,0.99998516121,0.00069986499,1.479550e-05,1.479550e-05
1601,0.99998695173,0.00070232400,1.300499e-05,1.300499e-05
1701,0.99998843584,0.00074599100,1.152088e-05,1.152088e-05
1801,0.99998967967,0.00078987000,1.027704e-05,1.027704e-05
1901,0.99999073243,0.00083375401,9.224284e-06,9.224284e-06
2001,0.99999163134,0.00087773001,8.325379e-06,8.325379e-06
2101,0.99999240497,0.00092113900,7.551746e-06,7.551746e-06
2201,0.99999307557,0.00096515601,6.881144e-06,6.881144e-06
2301,0.99999366066,0.00104349099,6.296058e-06,6.296058e-06
2401,0.99999417417,0.00105850800,5.782542e-06,5.782542e-06
2501,0.99999462733,0.00110445700,5.329383e-06,5.329383e-06
2601,0.99999502924,0.00114035599,4.927479e-06,4.927479e-06
2701,0.99999538733,0.00113728500,4.569383e-06,4.569383e-06
2801,0.99999570777,0.00121004500,4.248950e-06,4.248950e-06
2901,0.99999599564,0.00118306400,3.961079e-06,3.961079e-06
3001,0.99999625521,0.00123632800,3.701503e-06,3.701503e-06
3101,0.99999649008,0.00126446101,3.466632e-06,3.466632e-06
3201,0.99999670329,0.00129890199,3.253427e-06,3.253427e-06
3301,0.99999689741,0.00134624100,3.059303e-06,3.059303e-06
3401,0.99999707467,0.00137991000,2.882049e-06,2.882049e-06
3501,0.99999723695,0.00145398799,2.719766e-06,2.719766e-06
3601,0.99999738590,0.00139278200,2.570814e-06,2.570814e-06
3701,0.99999752294,0.00141295001,2.433772e-06,2.433772e-06
3801,0.99999764931,0.00145295801,2.307402e-06,2.307402e-06
3901,0.99999776609,0.00147730199,2.190626e-06,2.190626e-06
4001,0.99999787422,0.00151510400,2.082496e-06,2.082496e-06
4101,0.99999797454,0.00158043801,1.982179e-06,1.982179e-06
4201,0.99999806778,0.00159140700,1.888940e-06,1.888940e-06
4301,0.99999815459,0.00166750001,1.802128e-06,1.802128e-06
4401,0.99999823555,0.00156259700,1.721167e-06,1.721167e-06
4501,0.99999831117,0.00160644400,1.645541e-06,1.645541e-06
4601,0.99999838192,0.00163357200,1.574793e-06,1.574793e-06
4701,0.99999844820,0.00166875000,1.508511e-06,1.508511e-06
4801,0.99999851039,0.00170982401,1.446328e-06,1.446328e-06
4901,0.99999856880,0.00174464700,1.387911e-06,1.387911e-06
5001,0.99999862375,0.00175993900,1.332964e-06,1.332964e-06
5101,0.99999867550,0.00171355800,1.281217e-06,1.281217e-06
5201,0.99999872429,0.00174932599,1.232426e-06,1.232426e-06
5301,0.99999877035,0.00177634400,1.186369e-06,1.186369e-06
5401,0.99999881387,0.00181649400,1.142847e-06,1.142847e-06
5501,0.99999885504,0.00184715699,1.101677e-06,1.101677e-06
