Particle Size, Parallel Sim Approximation, Time, Error, Abs Error
1000,1.04000004287,0.00041791600,-4.000009e-02,4.000009e-02
2000,0.82000003380,0.00119593900,1.799999e-01,1.799999e-01
3000,0.90000003710,0.01104956800,9.999992e-02,9.999992e-02
4000,1.10000004535,0.01028286699,-1.000001e-01,1.000001e-01
5000,1.00000004122,0.01879012701,-8.450730e-08,8.450730e-08
6000,1.18000004864,0.01962106500,-1.800001e-01,1.800001e-01
7000,0.90000003710,0.02807386001,9.999992e-02,9.999992e-02
8000,0.96000003957,0.02183101300,3.999992e-02,3.999992e-02
9000,0.94000003875,0.03495016100,5.999992e-02,5.999992e-02
10000,1.28000005277,0.03401865601,-2.800001e-01,2.800001e-01
11000,1.12000004617,0.03295054901,-1.200001e-01,1.200001e-01
12000,1.00000004122,0.05726248000,-8.450730e-08,8.450730e-08
13000,0.82000003380,0.03712915101,1.799999e-01,1.799999e-01
14000,1.08000004452,0.05079068099,-8.000009e-02,8.000009e-02
15000,0.84000003463,0.08068052199,1.599999e-01,1.599999e-01
16000,1.20000004947,0.04413156401,-2.000001e-01,2.000001e-01
17000,0.98000004040,0.10968295399,1.999992e-02,1.999992e-02
18000,1.08000004452,0.05964738100,-8.000009e-02,8.000009e-02
19000,1.06000004370,0.04270619599,-6.000009e-02,6.000009e-02
20000,0.98000004040,0.09798081400,1.999992e-02,1.999992e-02
21000,0.86000003545,0.05464496501,1.399999e-01,1.399999e-01
22000,1.10000004535,0.07214450100,-1.000001e-01,1.000001e-01
23000,0.92000003793,0.06356402001,7.999992e-02,7.999992e-02
24000,0.80000003298,0.07745270600,1.999999e-01,1.999999e-01
25000,1.02000004205,0.07432302901,-2.000009e-02,2.000009e-02
26000,0.88000003628,0.09294844400,1.199999e-01,1.199999e-01
27000,0.96000003957,0.12533952600,3.999992e-02,3.999992e-02
28000,1.20000004947,0.06392691399,-2.000001e-01,2.000001e-01
29000,0.92000003793,0.03529634101,7.999992e-02,7.999992e-02
30000,1.10000004535,0.00388198100,-1.000001e-01,1.000001e-01
31000,1.18000004864,0.00423405100,-1.800001e-01,1.800001e-01
32000,0.96000003957,0.00424852100,3.999992e-02,3.999992e-02
33000,0.88000003628,0.00243749900,1.199999e-01,1.199999e-01
34000,0.74000003051,0.00142545100,2.599999e-01,2.599999e-01
35000,0.92000003793,0.00080229000,7.999992e-02,7.999992e-02
36000,1.04000004287,0.00286627701,-4.000009e-02,4.000009e-02
37000,0.92000003793,0.00525957999,7.999992e-02,7.999992e-02
38000,1.06000004370,0.00517019401,-6.000009e-02,6.000009e-02
39000,0.86000003545,0.00496324799,1.399999e-01,1.399999e-01
40000,1.16000004782,0.00296062800,-1.600001e-01,1.600001e-01
41000,0.92000003793,0.00111804900,7.999992e-02,7.999992e-02
