Partition Size, Parallel Trapezoidal Approximation, Time, Error, Abs Error
1,0.000000,0.002109,9.999996e-01,9.999996e-01
101,1.055574,0.000021,-5.557349e-02,5.557349e-02
201,0.999358,0.000699,6.424134e-04,6.424134e-04
301,0.996294,0.000552,3.706258e-03,3.706258e-03
401,0.995084,0.003808,4.915935e-03,4.915935e-03
501,1.000419,0.001207,-4.193715e-04,4.193715e-04
601,0.999908,0.006719,9.236206e-05,9.236206e-05
701,1.000488,0.004623,-4.877438e-04,4.877438e-04
801,0.990161,0.004589,9.839357e-03,9.839357e-03
901,0.999959,0.010351,4.114240e-05,4.114240e-05
1001,0.980420,0.007784,1.958043e-02,1.958043e-02
1101,0.991742,0.010425,8.258114e-03,8.258114e-03
1201,0.993936,0.006752,6.064279e-03,6.064279e-03
1301,0.995910,0.012044,4.089812e-03,4.089812e-03
1401,0.989601,0.009871,1.039935e-02,1.039935e-02
1501,0.985589,0.010119,1.441152e-02,1.441152e-02
1601,0.999243,0.013002,7.569127e-04,7.569127e-04
1701,0.996023,0.013806,3.976805e-03,3.976805e-03
1801,0.986947,0.014359,1.305326e-02,1.305326e-02
1901,0.994093,0.012026,5.907426e-03,5.907426e-03
2001,0.909454,0.014305,9.054563e-02,9.054563e-02
2101,0.934686,0.015027,6.531392e-02,6.531392e-02
2201,0.907075,0.016162,9.292515e-02,9.292515e-02
2301,0.926781,0.015818,7.321878e-02,7.321878e-02
2401,0.993685,0.013007,6.314719e-03,6.314719e-03
2501,0.995257,0.008631,4.743350e-03,4.743350e-03
2601,0.972942,0.018149,2.705769e-02,2.705769e-02
2701,0.999995,0.013475,4.651522e-06,4.651522e-06
2801,0.999244,0.019467,7.555629e-04,7.555629e-04
2901,0.985991,0.017440,1.400916e-02,1.400916e-02
3001,0.941909,0.019181,5.809102e-02,5.809102e-02
3101,0.983142,0.020956,1.685780e-02,1.685780e-02
3201,1.000003,0.021559,-3.318333e-06,3.318333e-06
3301,0.999624,0.024733,3.762752e-04,3.762752e-04
3401,0.999997,0.019332,2.964252e-06,2.964252e-06
3501,0.996204,0.016931,3.795731e-03,3.795731e-03
3601,0.987332,0.024120,1.266811e-02,1.266811e-02
3701,0.988093,0.026602,1.190662e-02,1.190662e-02
3801,0.972975,0.026329,2.702470e-02,2.702470e-02
3901,0.997539,0.018027,2.461240e-03,2.461240e-03
4001,0.997308,0.015000,2.691629e-03,2.691629e-03
4101,0.925518,0.018645,7.448209e-02,7.448209e-02
4201,0.917226,0.028298,8.277405e-02,8.277405e-02
4301,0.986248,0.023236,1.375200e-02,1.375200e-02
4401,0.985959,0.021400,1.404089e-02,1.404089e-02
4501,0.980450,0.019255,1.955043e-02,1.955043e-02
4601,0.984833,0.032332,1.516656e-02,1.516656e-02
4701,0.994299,0.034402,5.701294e-03,5.701294e-03
4801,0.984366,0.032655,1.563377e-02,1.563377e-02
4901,0.988195,0.029775,1.180510e-02,1.180510e-02
5001,0.995290,0.027058,4.710220e-03,4.710220e-03
5101,0.999929,0.026657,7.075048e-05,7.075048e-05
5201,0.904206,0.036639,9.579449e-02,9.579449e-02
5301,0.974275,0.022701,2.572500e-02,2.572500e-02
5401,0.994451,0.017159,5.549258e-03,5.549258e-03
5501,0.984484,0.032818,1.551590e-02,1.551590e-02
5601,0.992939,0.030432,7.060781e-03,7.060781e-03
5701,0.979259,0.036282,2.074111e-02,2.074111e-02
5801,1.000365,0.037166,-3.652072e-04,3.652072e-04
5901,0.999999,0.025990,1.039700e-06,1.039700e-06
6001,0.976887,0.036512,2.311324e-02,2.311324e-02
6101,0.978516,0.035293,2.148436e-02,2.148436e-02
6201,0.996019,0.026484,3.980713e-03,3.980713e-03
6301,0.981580,0.017648,1.842030e-02,1.842030e-02
6401,0.993282,0.042360,6.718142e-03,6.718142e-03
6501,0.980037,0.033919,1.996328e-02,1.996328e-02
6601,0.988419,0.045962,1.158144e-02,1.158144e-02
6701,0.918188,0.039259,8.181211e-02,8.181211e-02
6801,0.983533,0.035915,1.646702e-02,1.646702e-02
6901,0.987595,0.037933,1.240513e-02,1.240513e-02
7001,0.921448,0.045725,7.855195e-02,7.855195e-02
7101,0.895291,0.031595,1.047088e-01,1.047088e-01
7201,0.989126,0.043081,1.087438e-02,1.087438e-02
7301,0.987607,0.040251,1.239316e-02,1.239316e-02
7401,0.990697,0.032541,9.302892e-03,9.302892e-03
7501,0.984826,0.034438,1.517365e-02,1.517365e-02
7601,0.945883,0.035199,5.411743e-02,5.411743e-02
7701,0.910400,0.028754,8.960009e-02,8.960009e-02
7801,0.999823,0.041482,1.770439e-04,1.770439e-04
7901,0.999983,0.028947,1.721376e-05,1.721376e-05
8001,0.987676,0.050225,1.232389e-02,1.232389e-02
8101,0.982316,0.043039,1.768437e-02,1.768437e-02
8201,0.977665,0.052738,2.233507e-02,2.233507e-02
8301,0.943137,0.058212,5.686345e-02,5.686345e-02
8401,0.999999,0.052221,5.547448e-07,5.547448e-07
8501,0.999999,0.056387,5.436985e-07,5.436985e-07
8601,0.985272,0.044992,1.472786e-02,1.472786e-02
8701,1.000000,0.028496,5.227377e-07,5.227377e-07
8801,0.910807,0.057313,8.919315e-02,8.919315e-02
8901,0.916190,0.038723,8.381026e-02,8.381026e-02
9001,1.000000,0.062249,4.938772e-07,4.938772e-07
9101,1.000000,0.034134,4.848854e-07,4.848854e-07
9201,0.977097,0.067610,2.290330e-02,2.290330e-02
9301,0.986499,0.058256,1.350054e-02,1.350054e-02
9401,0.991346,0.046775,8.654289e-03,8.654289e-03
9501,0.985571,0.054057,1.442896e-02,1.442896e-02
9601,0.979099,0.071824,2.090088e-02,2.090088e-02
