Thread Count, Parallel Trapezoidal Approximation, Time, Error, Abs Error
4,0.921332,0.138055,7.866838e-02,7.866838e-02
104,0.534517,0.133771,4.654830e-01,4.654830e-01
204,0.922368,0.141188,7.763224e-02,7.763224e-02
304,0.920663,0.141952,7.933727e-02,7.933727e-02
404,0.029255,0.139872,9.707455e-01,9.707455e-01
504,0.921833,0.150623,7.816711e-02,7.816711e-02
604,0.922758,0.146702,7.724179e-02,7.724179e-02
704,0.553566,0.149461,4.464342e-01,4.464342e-01
804,0.655898,0.154684,3.441021e-01,3.441021e-01
904,0.918495,0.150228,8.150508e-02,8.150508e-02
1004,0.923449,0.158756,7.655147e-02,7.655147e-02
1104,0.917166,0.162421,8.283416e-02,8.283416e-02
1204,0.927073,0.165701,7.292734e-02,7.292734e-02
1304,0.921751,0.162886,7.824913e-02,7.824913e-02
1404,0.088291,0.170346,9.117090e-01,9.117090e-01
1504,0.913860,0.169055,8.614012e-02,8.614012e-02
1604,0.342481,0.171599,6.575188e-01,6.575188e-01
1704,0.913676,0.173769,8.632412e-02,8.632412e-02
1804,1.064042,0.178909,-6.404211e-02,6.404211e-02
1904,0.918721,0.178638,8.127859e-02,8.127859e-02
2004,0.822985,0.181330,1.770149e-01,1.770149e-01
2104,0.923707,0.186511,7.629315e-02,7.629315e-02
2204,0.863696,0.188151,1.363045e-01,1.363045e-01
2304,0.927168,0.191906,7.283238e-02,7.283238e-02
2404,0.891152,0.197980,1.088480e-01,1.088480e-01
2504,0.928293,0.202125,7.170704e-02,7.170704e-02
2604,0.289094,0.201636,7.109062e-01,7.109062e-01
2704,0.923518,0.198678,7.648180e-02,7.648180e-02
2804,0.482299,0.203637,5.177014e-01,5.177014e-01
2904,0.937179,0.205345,6.282076e-02,6.282076e-02
3004,0.922156,0.206432,7.784356e-02,7.784356e-02
3104,1.159073,0.209742,-1.590733e-01,1.590733e-01
3204,0.925505,0.214414,7.449538e-02,7.449538e-02
3304,0.443537,0.222518,5.564635e-01,5.564635e-01
3404,0.970309,0.223179,2.969138e-02,2.969138e-02
3504,0.923673,0.220009,7.632675e-02,7.632675e-02
3604,0.353806,0.230866,6.461941e-01,6.461941e-01
3704,0.929386,0.230728,7.061369e-02,7.061369e-02
3804,0.911405,0.246579,8.859493e-02,8.859493e-02
3904,0.921406,0.241956,7.859357e-02,7.859357e-02
4004,0.469903,0.242604,5.300967e-01,5.300967e-01
4104,0.925771,0.238644,7.422935e-02,7.422935e-02
4204,0.922733,0.250682,7.726655e-02,7.726655e-02
4304,0.920663,0.278188,7.933694e-02,7.933694e-02
4404,0.922909,0.265908,7.709144e-02,7.709144e-02
4504,0.923549,0.258708,7.645152e-02,7.645152e-02
4604,0.931346,0.251893,6.865404e-02,6.865404e-02
4704,0.923158,0.266093,7.684176e-02,7.684176e-02
4804,0.921438,0.265231,7.856195e-02,7.856195e-02
4904,0.697141,0.261537,3.028591e-01,3.028591e-01
5004,0.871171,0.271569,1.288291e-01,1.288291e-01
5104,0.920944,0.274441,7.905567e-02,7.905567e-02
5204,0.921016,0.277708,7.898439e-02,7.898439e-02
5304,0.924296,0.299844,7.570450e-02,7.570450e-02
5404,0.927287,0.299363,7.271258e-02,7.271258e-02
5504,0.913022,0.288879,8.697831e-02,8.697831e-02
5604,0.933002,0.276971,6.699784e-02,6.699784e-02
5704,0.942443,0.291259,5.755746e-02,5.755746e-02
5804,0.937748,0.320280,6.225161e-02,6.225161e-02
5904,0.940002,0.286495,5.999844e-02,5.999844e-02
6004,0.924263,0.309140,7.573696e-02,7.573696e-02
6104,0.920466,0.319913,7.953388e-02,7.953388e-02
