Partition Size, Serial Trapezoidal Approximation, Time, Error, Abs Error
1,0.000000,0.000016,9.999996e-01,9.999996e-01
101,0.996739,0.000090,3.261339e-03,3.261339e-03
201,0.999175,0.000171,8.247363e-04,8.247363e-04
301,0.999632,0.000248,3.679148e-04,3.679148e-04
401,0.999793,0.000329,2.073522e-04,2.073522e-04
501,0.999867,0.000418,1.328735e-04,1.328735e-04
601,0.999908,0.000493,9.236206e-05,9.236206e-05
701,0.999932,0.000575,6.791295e-05,6.791295e-05
801,0.999948,0.000658,5.203420e-05,5.203420e-05
901,0.999959,0.000752,4.114240e-05,4.114240e-05
1001,0.999967,0.000820,3.334855e-05,3.334855e-05
1101,0.999972,0.000902,2.758018e-05,2.758018e-05
1201,0.999977,0.000990,2.319174e-05,2.319174e-05
1301,0.999980,0.001026,1.977577e-05,1.977577e-05
1401,0.999983,0.001059,1.706481e-05,1.706481e-05
1501,0.999985,0.001134,1.487740e-05,1.487740e-05
1601,0.999987,0.001224,1.308692e-05,1.308692e-05
1701,0.999988,0.001285,1.160283e-05,1.160283e-05
1801,0.999990,0.001361,1.035903e-05,1.035903e-05
1901,0.999991,0.001450,9.306294e-06,9.306294e-06
2001,0.999992,0.001512,8.407411e-06,8.407411e-06
2101,0.999992,0.001629,7.633798e-06,7.633798e-06
2201,0.999993,0.001549,6.963214e-06,6.963214e-06
2301,0.999994,0.001614,6.378144e-06,6.378144e-06
2401,0.999994,0.001698,5.864644e-06,5.864644e-06
2501,0.999995,0.001753,5.411499e-06,5.411499e-06
2601,0.999995,0.001830,5.009607e-06,5.009607e-06
2701,0.999995,0.001910,4.651522e-06,4.651522e-06
2801,0.999996,0.001926,4.331101e-06,4.331101e-06
2901,0.999996,0.001898,4.043240e-06,4.043240e-06
3001,0.999996,0.001969,3.783674e-06,3.783674e-06
3101,0.999996,0.002029,3.548811e-06,3.548811e-06
3201,0.999997,0.002102,3.335615e-06,3.335615e-06
3301,0.999997,0.002165,3.141499e-06,3.141499e-06
3401,0.999997,0.002133,2.964252e-06,2.964252e-06
3501,0.999997,0.002147,2.801976e-06,2.801976e-06
3601,0.999997,0.002215,2.653030e-06,2.653030e-06
3701,0.999998,0.002280,2.515994e-06,2.515994e-06
3801,0.999998,0.002331,2.389631e-06,2.389631e-06
3901,0.999998,0.002329,2.272861e-06,2.272861e-06
4001,0.999998,0.002309,2.164736e-06,2.164736e-06
4101,0.999998,0.002376,2.064424e-06,2.064424e-06
4201,0.999998,0.002431,1.971189e-06,1.971189e-06
4301,0.999998,0.002481,1.884382e-06,1.884382e-06
4401,0.999998,0.002458,1.803425e-06,1.803425e-06
4501,0.999998,0.002527,1.727804e-06,1.727804e-06
4601,0.999998,0.002507,1.657059e-06,1.657059e-06
4701,0.999998,0.002568,1.590781e-06,1.590781e-06
4801,0.999999,0.002625,1.528602e-06,1.528602e-06
4901,0.999999,0.002539,1.470189e-06,1.470189e-06
5001,0.999999,0.002587,1.415245e-06,1.415245e-06
5101,0.999999,0.002640,1.363501e-06,1.363501e-06
5201,0.999999,0.002685,1.314713e-06,1.314713e-06
5301,0.999999,0.002674,1.268660e-06,1.268660e-06
5401,0.999999,0.002656,1.225141e-06,1.225141e-06
5501,0.999999,0.003116,1.183973e-06,1.183973e-06
5601,0.999999,0.002771,1.144991e-06,1.144991e-06
5701,0.999999,0.002764,1.108042e-06,1.108042e-06
5801,0.999999,0.002722,1.072988e-06,1.072988e-06
5901,0.999999,0.002772,1.039700e-06,1.039700e-06
6001,0.999999,0.002825,1.008063e-06,1.008063e-06
6101,0.999999,0.002853,9.779686e-07,9.779686e-07
6201,0.999999,0.002772,9.493183e-07,9.493183e-07
6301,0.999999,0.002824,9.220213e-07,9.220213e-07
6401,0.999999,0.002908,8.959936e-07,8.959936e-07
6501,0.999999,0.002912,8.711577e-07,8.711577e-07
6601,0.999999,0.002831,8.474420e-07,8.474420e-07
6701,0.999999,0.002871,8.247801e-07,8.247801e-07
6801,0.999999,0.002912,8.031105e-07,8.031105e-07
6901,0.999999,0.002959,7.823760e-07,7.823760e-07
7001,0.999999,0.002869,7.625237e-07,7.625237e-07
7101,0.999999,0.002913,7.435042e-07,7.435042e-07
7201,0.999999,0.002963,7.252715e-07,7.252715e-07
7301,0.999999,0.002994,7.077828e-07,7.077828e-07
7401,0.999999,0.003033,6.909983e-07,6.909983e-07
7501,0.999999,0.003074,6.748806e-07,6.748806e-07
7601,0.999999,0.003117,6.593948e-07,6.593948e-07
7701,0.999999,0.003171,6.445083e-07,6.445083e-07
7801,0.999999,0.003192,6.301907e-07,6.301907e-07
7901,0.999999,0.003240,6.164132e-07,6.164132e-07
8001,0.999999,0.003312,6.031492e-07,6.031492e-07
8101,0.999999,0.003322,5.903732e-07,5.903732e-07
8201,0.999999,0.003372,5.780618e-07,5.780618e-07
8301,0.999999,0.003435,5.661926e-07,5.661926e-07
8401,0.999999,0.003447,5.547448e-07,5.547448e-07
8501,0.999999,0.003478,5.436985e-07,5.436985e-07
8601,1.000000,0.003523,5.330353e-07,5.330353e-07
8701,1.000000,0.003601,5.227377e-07,5.227377e-07
8801,1.000000,0.003613,5.127890e-07,5.127890e-07
8901,1.000000,0.003648,5.031738e-07,5.031738e-07
9001,1.000000,0.003688,4.938772e-07,4.938772e-07
9101,1.000000,0.003847,4.848854e-07,4.848854e-07
9201,1.000000,0.004482,4.761853e-07,4.761853e-07
9301,1.000000,0.004550,4.677642e-07,4.677642e-07
9401,1.000000,0.004591,4.596104e-07,4.596104e-07
9501,1.000000,0.004620,4.517127e-07,4.517127e-07
9601,1.000000,0.004644,4.440606e-07,4.440606e-07
9701,1.000000,0.004682,4.366438e-07,4.366438e-07
9801,1.000000,0.004766,4.294529e-07,4.294529e-07
9901,1.000000,0.004836,4.224787e-07,4.224787e-07
10001,1.000000,0.004919,4.157128e-07,4.157128e-07
10101,1.000000,0.004913,4.091467e-07,4.091467e-07
10201,1.000000,0.004940,4.027729e-07,4.027729e-07
