Particle Size, Parallel Sim Approximation, Time, Error, Abs Error
1,1.000000,0.002057,3.916192e-08,3.916192e-08
1,1.000000,0.000003,3.916192e-08,3.916192e-08
1,1.000000,0.000002,3.916192e-08,3.916192e-08
1,1.000000,0.000002,3.916192e-08,3.916192e-08
1,1.000000,0.000002,3.916192e-08,3.916192e-08
1,1.000000,0.000002,3.916192e-08,3.916192e-08
1,1.000000,0.000002,3.916192e-08,3.916192e-08
1,1.000000,0.000002,3.916192e-08,3.916192e-08
1,1.000000,0.000002,3.916192e-08,3.916192e-08
1,1.000000,0.000002,3.916192e-08,3.916192e-08
1,1.000000,0.000002,3.916192e-08,3.916192e-08
1,1.000000,0.000003,3.916192e-08,3.916192e-08
1,1.000000,0.000002,3.916192e-08,3.916192e-08
1,1.000000,0.000002,3.916192e-08,3.916192e-08
1,1.000000,0.000002,3.916192e-08,3.916192e-08
1,1.000000,0.000002,3.916192e-08,3.916192e-08
1,1.000000,0.000002,3.916192e-08,3.916192e-08
1,1.000000,0.000002,3.916192e-08,3.916192e-08
1,1.000000,0.000002,3.916192e-08,3.916192e-08
1,1.000000,0.000002,3.916192e-08,3.916192e-08
1,1.000000,0.000002,3.916192e-08,3.916192e-08
1,1.000000,0.000002,3.916192e-08,3.916192e-08
1,1.000000,0.000002,3.916192e-08,3.916192e-08
1,1.000000,0.000002,3.916192e-08,3.916192e-08
1,1.000000,0.000002,3.916192e-08,3.916192e-08
101,1.000000,0.000002,3.916192e-08,3.916192e-08
101,1.000000,0.002427,3.916192e-08,3.916192e-08
101,1.000000,0.000151,3.916192e-08,3.916192e-08
101,1.000000,0.002777,3.916192e-08,3.916192e-08
101,1.000000,0.000128,3.916192e-08,3.916192e-08
101,1.000000,0.000123,3.916192e-08,3.916192e-08
101,1.000000,0.002659,3.916192e-08,3.916192e-08
101,1.000000,0.000209,3.916192e-08,3.916192e-08
101,1.000000,0.000151,3.916192e-08,3.916192e-08
101,1.000000,0.006955,3.916192e-08,3.916192e-08
101,1.000000,0.000629,3.916192e-08,3.916192e-08
101,1.000000,0.000370,3.916192e-08,3.916192e-08
101,1.000000,0.000720,3.916192e-08,3.916192e-08
101,1.000000,0.003119,3.916192e-08,3.916192e-08
101,1.000000,0.002434,3.916192e-08,3.916192e-08
101,1.000000,0.000185,3.916192e-08,3.916192e-08
101,1.000000,0.002840,3.916192e-08,3.916192e-08
