Particle Size, Serial Sim Approximation, Time, Error, Abs Error
1,1.000000,0.000003,3.916192e-08,3.916192e-08
1,1.000000,0.000002,3.916192e-08,3.916192e-08
1,1.000000,0.000001,3.916192e-08,3.916192e-08
1,1.000000,0.000001,3.916192e-08,3.916192e-08
1,1.000000,0.000001,3.916192e-08,3.916192e-08
1,1.000000,0.000001,3.916192e-08,3.916192e-08
1,1.000000,0.000001,3.916192e-08,3.916192e-08
1,1.000000,0.000001,3.916192e-08,3.916192e-08
1,1.000000,0.000001,3.916192e-08,3.916192e-08
1,1.000000,0.000001,3.916192e-08,3.916192e-08
1,1.000000,0.000001,3.916192e-08,3.916192e-08
1,1.000000,0.000001,3.916192e-08,3.916192e-08
1,1.000000,0.000001,3.916192e-08,3.916192e-08
1,1.000000,0.000001,3.916192e-08,3.916192e-08
1,1.000000,0.000001,3.916192e-08,3.916192e-08
1,1.000000,0.000001,3.916192e-08,3.916192e-08
1,1.000000,0.000001,3.916192e-08,3.916192e-08
1,1.000000,0.000001,3.916192e-08,3.916192e-08
1,1.000000,0.000001,3.916192e-08,3.916192e-08
1,1.000000,0.000001,3.916192e-08,3.916192e-08
1,1.000000,0.000001,3.916192e-08,3.916192e-08
1,1.000000,0.000001,3.916192e-08,3.916192e-08
1,1.000000,0.000001,3.916192e-08,3.916192e-08
1,1.000000,0.000001,3.916192e-08,3.916192e-08
1,1.000000,0.000001,3.916192e-08,3.916192e-08
101,1.000000,0.000001,3.916192e-08,3.916192e-08
101,1.000000,0.000001,3.916192e-08,3.916192e-08
101,1.000000,0.000001,3.916192e-08,3.916192e-08
101,1.000000,0.000001,3.916192e-08,3.916192e-08
101,1.000000,0.000001,3.916192e-08,3.916192e-08
101,1.000000,0.000001,3.916192e-08,3.916192e-08
101,1.000000,0.000001,3.916192e-08,3.916192e-08
101,1.000000,0.000001,3.916192e-08,3.916192e-08
101,1.000000,0.000001,3.916192e-08,3.916192e-08
101,1.000000,0.000001,3.916192e-08,3.916192e-08
101,1.000000,0.000001,3.916192e-08,3.916192e-08
101,1.000000,0.000001,3.916192e-08,3.916192e-08
101,1.000000,0.000001,3.916192e-08,3.916192e-08
101,1.000000,0.000001,3.916192e-08,3.916192e-08
101,1.000000,0.000001,3.916192e-08,3.916192e-08
101,1.000000,0.000001,3.916192e-08,3.916192e-08
101,1.000000,0.000001,3.916192e-08,3.916192e-08
101,1.000000,0.000001,3.916192e-08,3.916192e-08
101,1.000000,0.000001,3.916192e-08,3.916192e-08
101,1.000000,0.000001,3.916192e-08,3.916192e-08
101,1.000000,0.000001,3.916192e-08,3.916192e-08
101,1.000000,0.000001,3.916192e-08,3.916192e-08
101,1.000000,0.000001,3.916192e-08,3.916192e-08
101,1.000000,0.000001,3.916192e-08,3.916192e-08
101,1.000000,0.000001,3.916192e-08,3.916192e-08
201,1.000000,0.000001,3.916192e-08,3.916192e-08
201,1.000000,0.000001,3.916192e-08,3.916192e-08
201,1.000000,0.000001,3.916192e-08,3.916192e-08
201,1.000000,0.000001,3.916192e-08,3.916192e-08
201,1.000000,0.000001,3.916192e-08,3.916192e-08
201,1.000000,0.000001,3.916192e-08,3.916192e-08
201,1.000000,0.000001,3.916192e-08,3.916192e-08
201,1.000000,0.000001,3.916192e-08,3.916192e-08
201,1.000000,0.000001,3.916192e-08,3.916192e-08
201,1.000000,0.000001,3.916192e-08,3.916192e-08
201,1.000000,0.000001,3.916192e-08,3.916192e-08
201,1.000000,0.000001,3.916192e-08,3.916192e-08
201,1.000000,0.000001,3.916192e-08,3.916192e-08
201,1.000000,0.000001,3.916192e-08,3.916192e-08
201,1.000000,0.000001,3.916192e-08,3.916192e-08
201,1.000000,0.000001,3.916192e-08,3.916192e-08
201,1.000000,0.000001,3.916192e-08,3.916192e-08
201,1.000000,0.000001,3.916192e-08,3.916192e-08
201,1.000000,0.000001,3.916192e-08,3.916192e-08
201,1.000000,0.000001,3.916192e-08,3.916192e-08
201,1.000000,0.000001,3.916192e-08,3.916192e-08
201,1.000000,0.000001,3.916192e-08,3.916192e-08
201,1.000000,0.000001,3.916192e-08,3.916192e-08
201,1.000000,0.000001,3.916192e-08,3.916192e-08
201,1.000000,0.000001,3.916192e-08,3.916192e-08
301,1.000000,0.000001,3.916192e-08,3.916192e-08
301,1.000000,0.000001,3.916192e-08,3.916192e-08
301,1.000000,0.000001,3.916192e-08,3.916192e-08
301,1.000000,0.000001,3.916192e-08,3.916192e-08
301,1.000000,0.000001,3.916192e-08,3.916192e-08
301,1.000000,0.000001,3.916192e-08,3.916192e-08
301,1.000000,0.000001,3.916192e-08,3.916192e-08
301,1.000000,0.000001,3.916192e-08,3.916192e-08
301,1.000000,0.000001,3.916192e-08,3.916192e-08
301,1.000000,0.000001,3.916192e-08,3.916192e-08
301,1.000000,0.000001,3.916192e-08,3.916192e-08
301,1.000000,0.000001,3.916192e-08,3.916192e-08
301,1.000000,0.000001,3.916192e-08,3.916192e-08
301,1.000000,0.000001,3.916192e-08,3.916192e-08
301,1.000000,0.000001,3.916192e-08,3.916192e-08
301,1.000000,0.000001,3.916192e-08,3.916192e-08
301,1.000000,0.000001,3.916192e-08,3.916192e-08
301,1.000000,0.000001,3.916192e-08,3.916192e-08
301,1.000000,0.000001,3.916192e-08,3.916192e-08
301,1.000000,0.000001,3.916192e-08,3.916192e-08
