Partition Size, Serial Trapezoidal Approximation, Time, Error, Abs Error,,Partition Size, Parallel Trapezoidal Approximation, Time, Error, Abs Error
1,0,0.000016,1.00E+00,1.00E+00,,1,0,0.002109,1.00E+00,1.00E+00
101,0.996739,0.00009,3.26E-03,3.26E-03,,101,1.055574,0.000021,-5.56E-02,5.56E-02
201,0.999175,0.000171,8.25E-04,8.25E-04,,201,0.999358,0.000699,6.42E-04,6.42E-04
301,0.999632,0.000248,3.68E-04,3.68E-04,,301,0.996294,0.000552,3.71E-03,3.71E-03
401,0.999793,0.000329,2.07E-04,2.07E-04,,401,0.995084,0.003808,4.92E-03,4.92E-03
501,0.999867,0.000418,1.33E-04,1.33E-04,,501,1.000419,0.001207,-4.19E-04,4.19E-04
601,0.999908,0.000493,9.24E-05,9.24E-05,,601,0.999908,0.006719,9.24E-05,9.24E-05
701,0.999932,0.000575,6.79E-05,6.79E-05,,701,1.000488,0.004623,-4.88E-04,4.88E-04
801,0.999948,0.000658,5.20E-05,5.20E-05,,801,0.990161,0.004589,9.84E-03,9.84E-03
901,0.999959,0.000752,4.11E-05,4.11E-05,,901,0.999959,0.010351,4.11E-05,4.11E-05
1001,0.999967,0.00082,3.33E-05,3.33E-05,,1001,0.98042,0.007784,1.96E-02,1.96E-02
1101,0.999972,0.000902,2.76E-05,2.76E-05,,1101,0.991742,0.010425,8.26E-03,8.26E-03
1201,0.999977,0.00099,2.32E-05,2.32E-05,,1201,0.993936,0.006752,6.06E-03,6.06E-03
1301,0.99998,0.001026,1.98E-05,1.98E-05,,1301,0.99591,0.012044,4.09E-03,4.09E-03
1401,0.999983,0.001059,1.71E-05,1.71E-05,,1401,0.989601,0.009871,1.04E-02,1.04E-02
1501,0.999985,0.001134,1.49E-05,1.49E-05,,1501,0.985589,0.010119,1.44E-02,1.44E-02
1601,0.999987,0.001224,1.31E-05,1.31E-05,,1601,0.999243,0.013002,7.57E-04,7.57E-04
1701,0.999988,0.001285,1.16E-05,1.16E-05,,1701,0.996023,0.013806,3.98E-03,3.98E-03
1801,0.99999,0.001361,1.04E-05,1.04E-05,,1801,0.986947,0.014359,1.31E-02,1.31E-02
1901,0.999991,0.00145,9.31E-06,9.31E-06,,1901,0.994093,0.012026,5.91E-03,5.91E-03
2001,0.999992,0.001512,8.41E-06,8.41E-06,,2001,0.909454,0.014305,9.05E-02,9.05E-02
2101,0.999992,0.001629,7.63E-06,7.63E-06,,2101,0.934686,0.015027,6.53E-02,6.53E-02
2201,0.999993,0.001549,6.96E-06,6.96E-06,,2201,0.907075,0.016162,9.29E-02,9.29E-02
2301,0.999994,0.001614,6.38E-06,6.38E-06,,2301,0.926781,0.015818,7.32E-02,7.32E-02
2401,0.999994,0.001698,5.86E-06,5.86E-06,,2401,0.993685,0.013007,6.31E-03,6.31E-03
2501,0.999995,0.001753,5.41E-06,5.41E-06,,2501,0.995257,0.008631,4.74E-03,4.74E-03
2601,0.999995,0.00183,5.01E-06,5.01E-06,,2601,0.972942,0.018149,2.71E-02,2.71E-02
2701,0.999995,0.00191,4.65E-06,4.65E-06,,2701,0.999995,0.013475,4.65E-06,4.65E-06
2801,0.999996,0.001926,4.33E-06,4.33E-06,,2801,0.999244,0.019467,7.56E-04,7.56E-04
2901,0.999996,0.001898,4.04E-06,4.04E-06,,2901,0.985991,0.01744,1.40E-02,1.40E-02
3001,0.999996,0.001969,3.78E-06,3.78E-06,,3001,0.941909,0.019181,5.81E-02,5.81E-02
3101,0.999996,0.002029,3.55E-06,3.55E-06,,3101,0.983142,0.020956,1.69E-02,1.69E-02
